block_reason,cooldown_blocked,inst_id,last_exit_reason,last_trade_pnl,price,recovery_blocked,side,ts
cooldown после ATR-стопа ещё активен 1781s; цена отошла только на 0.13 ATR,True,CFX-USDT-SWAP,Канальный выход 20 свечей,0.0,0.06022,True,short,2026-03-23 01:51:24
cooldown после ATR-стопа ещё активен 1095s; цена отошла только на 0.08 ATR,True,IOTA-USDT-SWAP,ATR стоп 2.0N,0.0,0.05728,True,long,2026-03-23 01:51:26
cooldown после ATR-стопа ещё активен 1765s; цена отошла только на 0.13 ATR,True,CFX-USDT-SWAP,Канальный выход 20 свечей,0.0,0.06022,True,short,2026-03-23 01:51:40
cooldown после ATR-стопа ещё активен 1079s; цена отошла только на 0.08 ATR,True,IOTA-USDT-SWAP,ATR стоп 2.0N,0.0,0.05728,True,long,2026-03-23 01:51:42
cooldown после ATR-стопа ещё активен 1754s; цена отошла только на 0.13 ATR,True,CFX-USDT-SWAP,Канальный выход 20 свечей,0.0,0.06022,True,short,2026-03-23 01:51:51
cooldown после ATR-стопа ещё активен 1068s; цена отошла только на 0.08 ATR,True,IOTA-USDT-SWAP,ATR стоп 2.0N,0.0,0.05728,True,long,2026-03-23 01:51:53
cooldown после ATR-стопа ещё активен 1738s; цена отошла только на 0.13 ATR,True,CFX-USDT-SWAP,Канальный выход 20 свечей,0.0,0.06022,True,short,2026-03-23 01:52:07
cooldown после ATR-стопа ещё активен 1053s; цена отошла только на 0.08 ATR,True,IOTA-USDT-SWAP,ATR стоп 2.0N,0.0,0.05728,True,long,2026-03-23 01:52:08
cooldown после ATR-стопа ещё активен 1720s; цена отошла только на 0.13 ATR,True,CFX-USDT-SWAP,Канальный выход 20 свечей,0.0,0.06022,True,short,2026-03-23 01:52:25
cooldown после ATR-стопа ещё активен 1034s; цена отошла только на 0.08 ATR,True,IOTA-USDT-SWAP,ATR стоп 2.0N,0.0,0.05728,True,long,2026-03-23 01:52:27
cooldown после ATR-стопа ещё активен 1704s; цена отошла только на 0.13 ATR,True,CFX-USDT-SWAP,Канальный выход 20 свечей,0.0,0.06022,True,short,2026-03-23 01:52:41
cooldown после ATR-стопа ещё активен 1019s; цена отошла только на 0.08 ATR,True,IOTA-USDT-SWAP,ATR стоп 2.0N,0.0,0.05728,True,long,2026-03-23 01:52:42
cooldown после ATR-стопа ещё активен 1694s; цена отошла только на 0.13 ATR,True,CFX-USDT-SWAP,Канальный выход 20 свечей,0.0,0.06022,True,short,2026-03-23 01:52:51
cooldown после ATR-стопа ещё активен 1008s; цена отошла только на 0.08 ATR,True,IOTA-USDT-SWAP,ATR стоп 2.0N,0.0,0.05728,True,long,2026-03-23 01:52:53
cooldown после ATR-стопа ещё активен 1678s; цена отошла только на 0.13 ATR,True,CFX-USDT-SWAP,Канальный выход 20 свечей,0.0,0.06022,True,short,2026-03-23 01:53:07
cooldown после ATR-стопа ещё активен 992s; цена отошла только на 0.08 ATR,True,IOTA-USDT-SWAP,ATR стоп 2.0N,0.0,0.05728,True,long,2026-03-23 01:53:09
cooldown после ATR-стопа ещё активен 1659s; цена отошла только на 0.13 ATR,True,CFX-USDT-SWAP,Канальный выход 20 свечей,0.0,0.06022,True,short,2026-03-23 01:53:26
cooldown после ATR-стопа ещё активен 973s; цена отошла только на 0.08 ATR,True,IOTA-USDT-SWAP,ATR стоп 2.0N,0.0,0.05728,True,long,2026-03-23 01:53:29
cooldown после ATR-стопа ещё активен 1644s; цена отошла только на 0.13 ATR,True,CFX-USDT-SWAP,Канальный выход 20 свечей,0.0,0.06022,True,short,2026-03-23 01:53:42
cooldown после ATR-стопа ещё активен 958s; цена отошла только на 0.08 ATR,True,IOTA-USDT-SWAP,ATR стоп 2.0N,0.0,0.05728,True,long,2026-03-23 01:53:44
cooldown после ATR-стопа ещё активен 1633s; цена отошла только на 0.13 ATR,True,CFX-USDT-SWAP,Канальный выход 20 свечей,0.0,0.06022,True,short,2026-03-23 01:53:52
cooldown после ATR-стопа ещё активен 947s; цена отошла только на 0.08 ATR,True,IOTA-USDT-SWAP,ATR стоп 2.0N,0.0,0.05728,True,long,2026-03-23 01:53:54
cooldown после ATR-стопа ещё активен 1616s; цена отошла только на 0.13 ATR,True,CFX-USDT-SWAP,Канальный выход 20 свечей,0.0,0.06022,True,short,2026-03-23 01:54:09
cooldown после ATR-стопа ещё активен 930s; цена отошла только на 0.08 ATR,True,IOTA-USDT-SWAP,ATR стоп 2.0N,0.0,0.05728,True,long,2026-03-23 01:54:11
cooldown после ATR-стопа ещё активен 1593s; цена отошла только на 0.13 ATR,True,CFX-USDT-SWAP,Канальный выход 20 свечей,0.0,0.06022,True,short,2026-03-23 01:54:32
cooldown после ATR-стопа ещё активен 906s; цена отошла только на 0.08 ATR,True,IOTA-USDT-SWAP,ATR стоп 2.0N,0.0,0.05728,True,long,2026-03-23 01:54:35
cooldown после ATR-стопа ещё активен 1576s; цена отошла только на 0.13 ATR,True,CFX-USDT-SWAP,Канальный выход 20 свечей,0.0,0.06022,True,short,2026-03-23 01:54:49
cooldown после ATR-стопа ещё активен 892s; цена отошла только на 0.08 ATR,True,IOTA-USDT-SWAP,ATR стоп 2.0N,0.0,0.05728,True,long,2026-03-23 01:54:49
cooldown после ATR-стопа ещё активен 1566s; цена отошла только на 0.13 ATR,True,CFX-USDT-SWAP,Канальный выход 20 свечей,0.0,0.06022,True,short,2026-03-23 01:54:59
cooldown после ATR-стопа ещё активен 876s; цена отошла только на 0.78 ATR,True,IOTA-USDT-SWAP,ATR стоп 2.0N,0.0,0.05739,True,long,2026-03-23 01:55:05
cooldown после ATR-стопа ещё активен 1516s; цена отошла только на 0.13 ATR,True,CFX-USDT-SWAP,Канальный выход 20 свечей,0.0,0.06022,True,short,2026-03-23 01:55:50
cooldown после ATR-стопа ещё активен 826s; цена отошла только на 0.78 ATR,True,IOTA-USDT-SWAP,ATR стоп 2.0N,0.0,0.05739,True,long,2026-03-23 01:55:55
cooldown после ATR-стопа ещё активен 1477s; цена отошла только на 0.13 ATR,True,CFX-USDT-SWAP,Канальный выход 20 свечей,0.0,0.06022,True,short,2026-03-23 01:56:28
cooldown после ATR-стопа ещё активен 788s; цена отошла только на 0.78 ATR,True,IOTA-USDT-SWAP,ATR стоп 2.0N,0.0,0.05739,True,long,2026-03-23 01:56:34
cooldown после ATR-стопа ещё активен 1441s; цена отошла только на 0.13 ATR,True,CFX-USDT-SWAP,Канальный выход 20 свечей,0.0,0.06022,True,short,2026-03-23 01:57:04
cooldown после ATR-стопа ещё активен 751s; цена отошла только на 0.78 ATR,True,IOTA-USDT-SWAP,ATR стоп 2.0N,0.0,0.05739,True,long,2026-03-23 01:57:10
cooldown после ATR-стопа ещё активен 1413s; цена отошла только на 0.13 ATR,True,CFX-USDT-SWAP,Канальный выход 20 свечей,0.0,0.06022,True,short,2026-03-23 01:57:32
cooldown после ATR-стопа ещё активен 724s; цена отошла только на 0.78 ATR,True,IOTA-USDT-SWAP,ATR стоп 2.0N,0.0,0.05739,True,long,2026-03-23 01:57:37
cooldown после ATR-стопа ещё активен 1392s; цена отошла только на 0.13 ATR,True,CFX-USDT-SWAP,Канальный выход 20 свечей,0.0,0.06022,True,short,2026-03-23 01:57:54
cooldown после ATR-стопа ещё активен 702s; цена отошла только на 0.78 ATR,True,IOTA-USDT-SWAP,ATR стоп 2.0N,0.0,0.05739,True,long,2026-03-23 01:57:59
cooldown после ATR-стопа ещё активен 1359s; цена отошла только на 0.13 ATR,True,CFX-USDT-SWAP,Канальный выход 20 свечей,0.0,0.06022,True,short,2026-03-23 01:58:26
cooldown после ATR-стопа ещё активен 670s; цена отошла только на 0.78 ATR,True,IOTA-USDT-SWAP,ATR стоп 2.0N,0.0,0.05739,True,long,2026-03-23 01:58:31
