cooldown_blocked,cooldown_expired,cooldown_required_seconds,event,final_decision_allow_true_false,final_reason,inst_id,last_exit_reason,last_trade_pnl,price,recent_stopout_present,recent_trade_penalty,recovery_atr_actual,recovery_atr_required,recovery_blocked,seconds_since_last_close,side,timeframe,ts
False,,,reentry_check,True,ok,INJ-USDT-SWAP,,,2.949,False,,,,False,,long,5m,2026-03-27 07:12:31
False,,,reentry_check,True,ok,INJ-USDT-SWAP,,,2.949,False,,,,False,,short,5m,2026-03-27 07:12:31
False,,,reentry_check,True,ok,IOTA-USDT-SWAP,,,0.05703,False,,,,False,,long,5m,2026-03-27 07:12:32
False,,,reentry_check,True,ok,IOTA-USDT-SWAP,,,0.05703,False,,,,False,,short,5m,2026-03-27 07:12:32
False,,,reentry_check,True,ok,KAITO-USDT-SWAP,,,0.3893,False,,,,False,,long,5m,2026-03-27 07:12:35
False,,,reentry_check,True,ok,KAITO-USDT-SWAP,,,0.3893,False,,,,False,,short,5m,2026-03-27 07:12:35
False,,,reentry_check,True,ok,KSM-USDT-SWAP,,,4.28,False,,,,False,,long,5m,2026-03-27 07:12:36
False,,,reentry_check,True,ok,KSM-USDT-SWAP,,,4.28,False,,,,False,,short,5m,2026-03-27 07:12:36
False,,,reentry_check,True,ok,LDO-USDT-SWAP,,,0.2866,False,,,,False,,long,5m,2026-03-27 07:12:38
False,,,reentry_check,True,ok,LDO-USDT-SWAP,,,0.2866,False,,,,False,,short,5m,2026-03-27 07:12:38
,,,reentry_check,True,scan,LDO-USDT-SWAP,,,0.2866,False,2.5,,,,,scan,5m,2026-03-27 07:12:39
False,,,reentry_check,True,ok,LQTY-USDT-SWAP,,,0.2724,False,,,,False,,long,5m,2026-03-27 07:12:43
False,,,reentry_check,True,ok,LQTY-USDT-SWAP,,,0.2724,False,,,,False,,short,5m,2026-03-27 07:12:43
False,,,reentry_check,True,ok,MINA-USDT-SWAP,,,0.05535,False,,,,False,,long,5m,2026-03-27 07:12:51
False,,,reentry_check,True,ok,MINA-USDT-SWAP,,,0.05535,False,,,,False,,short,5m,2026-03-27 07:12:51
False,,,reentry_check,True,ok,SYRUP-USDT-SWAP,,,0.2161,False,,,,False,,long,5m,2026-03-27 07:13:18
False,,,reentry_check,True,ok,SYRUP-USDT-SWAP,,,0.2161,False,,,,False,,short,5m,2026-03-27 07:13:18
,,,reentry_check,True,scan,SYRUP-USDT-SWAP,,,0.2161,False,1.8,,,,,scan,5m,2026-03-27 07:13:18
False,,,reentry_check,True,ok,TON-USDT-SWAP,,,1.243,False,,,,False,,long,5m,2026-03-27 07:13:22
False,,,reentry_check,True,ok,TON-USDT-SWAP,,,1.243,False,,,,False,,short,5m,2026-03-27 07:13:22
False,,,reentry_check,True,ok,TSLA-USDT-SWAP,,,375.48,False,,,,False,,long,5m,2026-03-27 07:13:27
False,,,reentry_check,True,ok,TSLA-USDT-SWAP,,,375.48,False,,,,False,,short,5m,2026-03-27 07:13:27
False,,,reentry_check,True,ok,YGG-USDT-SWAP,,,0.0366,False,,,,False,,long,5m,2026-03-27 07:13:40
False,,,reentry_check,True,ok,YGG-USDT-SWAP,,,0.0366,False,,,,False,,short,5m,2026-03-27 07:13:40
False,,,reentry_check,True,ok,1INCH-USDT-SWAP,,,0.0911,False,,,,False,,long,5m,2026-03-27 07:15:55
False,,,reentry_check,True,ok,1INCH-USDT-SWAP,,,0.0911,False,,,,False,,short,5m,2026-03-27 07:15:55
False,,,reentry_check,True,ok,AAVE-USDT-SWAP,,,105.38,False,,,,False,,long,5m,2026-03-27 07:16:00
False,,,reentry_check,True,ok,AAVE-USDT-SWAP,,,105.38,False,,,,False,,short,5m,2026-03-27 07:16:00
False,,,reentry_check,True,ok,ALGO-USDT-SWAP,,,0.0834,False,,,,False,,long,5m,2026-03-27 07:16:07
False,,,reentry_check,True,ok,ALGO-USDT-SWAP,,,0.0834,False,,,,False,,short,5m,2026-03-27 07:16:07
False,,,reentry_check,True,ok,BAND-USDT-SWAP,,,0.2109,False,,,,False,,long,5m,2026-03-27 07:16:18
False,,,reentry_check,True,ok,BAND-USDT-SWAP,,,0.2109,False,,,,False,,short,5m,2026-03-27 07:16:18
False,,,reentry_check,True,ok,BCH-USDT-SWAP,,,461.9,False,,,,False,,long,5m,2026-03-27 07:16:19
False,,,reentry_check,True,ok,BCH-USDT-SWAP,,,461.9,False,,,,False,,short,5m,2026-03-27 07:16:19
False,,,reentry_check,True,ok,BTC-USDT-SWAP,,,68377.7,False,,,,False,,long,5m,2026-03-27 07:16:23
False,,,reentry_check,True,ok,BTC-USDT-SWAP,,,68377.7,False,,,,False,,short,5m,2026-03-27 07:16:23
False,,,reentry_check,True,ok,FIL-USDT-SWAP,,,0.866,False,,,,False,,long,5m,2026-03-27 07:16:34
False,,,reentry_check,True,ok,FIL-USDT-SWAP,,,0.866,False,,,,False,,short,5m,2026-03-27 07:16:34
False,,,reentry_check,True,ok,KAITO-USDT-SWAP,,,0.3912,False,,,,False,,long,5m,2026-03-27 07:16:52
False,,,reentry_check,True,ok,KAITO-USDT-SWAP,,,0.3912,False,,,,False,,short,5m,2026-03-27 07:16:52
False,,,reentry_check,True,ok,KSM-USDT-SWAP,,,4.28,False,,,,False,,long,5m,2026-03-27 07:16:54
False,,,reentry_check,True,ok,KSM-USDT-SWAP,,,4.28,False,,,,False,,short,5m,2026-03-27 07:16:54
False,,,reentry_check,True,ok,LDO-USDT-SWAP,,,0.2858,False,,,,False,,long,5m,2026-03-27 07:16:55
False,,,reentry_check,True,ok,LDO-USDT-SWAP,,,0.2858,False,,,,False,,short,5m,2026-03-27 07:16:55
,,,reentry_check,True,scan,LDO-USDT-SWAP,,,0.2858,False,2.5,,,,,scan,5m,2026-03-27 07:16:56
False,,,reentry_check,True,ok,MINA-USDT-SWAP,,,0.05535,False,,,,False,,long,5m,2026-03-27 07:17:07
False,,,reentry_check,True,ok,MINA-USDT-SWAP,,,0.05535,False,,,,False,,short,5m,2026-03-27 07:17:07
False,,,reentry_check,True,ok,THETA-USDT-SWAP,,,0.1592,False,,,,False,,long,5m,2026-03-27 07:17:33
False,,,reentry_check,True,ok,THETA-USDT-SWAP,,,0.1592,False,,,,False,,short,5m,2026-03-27 07:17:33
False,,,reentry_check,True,ok,TON-USDT-SWAP,,,1.243,False,,,,False,,long,5m,2026-03-27 07:17:35
False,,,reentry_check,True,ok,TON-USDT-SWAP,,,1.243,False,,,,False,,short,5m,2026-03-27 07:17:35
False,,,reentry_check,True,ok,YGG-USDT-SWAP,,,0.0365,False,,,,False,,long,5m,2026-03-27 07:17:52
False,,,reentry_check,True,ok,YGG-USDT-SWAP,,,0.0365,False,,,,False,,short,5m,2026-03-27 07:17:52
,,,reentry_check,True,scan,YGG-USDT-SWAP,,,0.0365,False,2.05,,,,,scan,5m,2026-03-27 07:17:53
