2026-03-31 14:36:07,852 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=ASTER-USDT-SWAP&bar=5m&limit=71 "HTTP/2 200 OK"
2026-03-31 14:36:08,154 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=DOT-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-31 14:36:08,743 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=ENA-USDT-SWAP "HTTP/2 200 OK"
2026-03-31 14:36:09,102 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=ENA-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-31 14:36:09,264 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/public/instruments?instType=SWAP "HTTP/2 200 OK"
2026-03-31 14:36:09,696 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=EOS-USDT-SWAP "HTTP/2 200 OK"
2026-03-31 14:36:09,723 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/account/balance "HTTP/2 200 OK"
2026-03-31 14:36:10,055 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=EOS-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-31 14:36:10,099 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/trade/orders-pending?instType=SWAP&instId=1INCH-USDT-SWAP "HTTP/2 200 OK"
2026-03-31 14:36:10,462 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=1INCH-USDT-SWAP "HTTP/2 200 OK"
2026-03-31 14:36:10,636 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=ETC-USDT-SWAP "HTTP/2 200 OK"
2026-03-31 14:36:11,003 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=ETC-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
