cooldown_blocked,cooldown_required_seconds,event,final_decision_allow_true_false,final_reason,inst_id,last_exit_reason,last_trade_pnl,price,recent_stopout_present,recent_trade_penalty,recovery_atr_actual,recovery_atr_required,recovery_blocked,seconds_since_last_close,side,timeframe,ts
False,,reentry_check,True,ok,ADA-USDT-SWAP,,,0.2696,False,,,,False,,long,5m,2026-03-19 14:04:49
False,,reentry_check,True,ok,ADA-USDT-SWAP,,,0.2696,False,,,,False,,short,5m,2026-03-19 14:04:49
False,,reentry_check,True,ok,ARB-USDT-SWAP,,,0.1005,False,,,,False,,long,5m,2026-03-19 14:04:50
False,,reentry_check,True,ok,ARB-USDT-SWAP,,,0.1005,False,,,,False,,short,5m,2026-03-19 14:04:50
False,,reentry_check,True,ok,ASTER-USDT-SWAP,,,0.6888,False,,,,False,,long,5m,2026-03-19 14:04:50
False,,reentry_check,True,ok,ASTER-USDT-SWAP,,,0.6888,False,,,,False,,short,5m,2026-03-19 14:04:50
False,,reentry_check,True,ok,AUCTION-USDT-SWAP,,,4.937,False,,,,False,,long,5m,2026-03-19 14:04:50
False,,reentry_check,True,ok,AUCTION-USDT-SWAP,,,4.937,False,,,,False,,short,5m,2026-03-19 14:04:50
False,,reentry_check,True,ok,AXS-USDT-SWAP,,,1.1928,False,,,,False,,long,5m,2026-03-19 14:04:51
False,,reentry_check,True,ok,AXS-USDT-SWAP,,,1.1928,False,,,,False,,short,5m,2026-03-19 14:04:51
False,,reentry_check,True,ok,BNB-USDT-SWAP,,,725.0,False,,,,False,,long,5m,2026-03-19 14:04:51
False,,reentry_check,True,ok,BNB-USDT-SWAP,,,725.0,False,,,,False,,short,5m,2026-03-19 14:04:51
False,,reentry_check,True,ok,BOME-USDT-SWAP,,,0.00043,False,,,,False,,long,5m,2026-03-19 14:04:51
False,,reentry_check,True,ok,BOME-USDT-SWAP,,,0.00043,False,,,,False,,short,5m,2026-03-19 14:04:51
False,,reentry_check,True,ok,BTC-USDT-SWAP,,,70092.9,False,,,,False,,long,5m,2026-03-19 14:04:51
False,,reentry_check,True,ok,BTC-USDT-SWAP,,,70092.9,False,,,,False,,short,5m,2026-03-19 14:04:51
