action,inst_id,latency_ms,price,qty,response_code,response_message,side,success,timestamp,trade_id
CLOSE,NEAR-USDT-SWAP,0.0,1.1581,946.8,,Синхронизация: позиция отсутствует на бирже,short,True,2026-03-29 18:57:22,20260329_183351_NEAR-USDT-SWAP_short
close_pending_exchange,MET-USDT-SWAP,0.0,0.1339,8236.0,,SYNC confirmed close after exchange absence,short,True,2026-03-29 19:00:15,20260329_171243_MET-USDT-SWAP_short
position_closed,MET-USDT-SWAP,0.0,0.0,8236.0,синхронизация:_позиция_отсутствует_на_бирже,Синхронизация: позиция отсутствует на бирже,short,True,2026-03-29 19:00:18,20260329_171243_MET-USDT-SWAP_short
CLOSE,MET-USDT-SWAP,0.0,0.1348,8236.0,,Синхронизация: позиция отсутствует на бирже,short,True,2026-03-29 19:00:18,20260329_171243_MET-USDT-SWAP_short
position_opened,ETHFI-USDT-SWAP,0.0,0.458,5971.0,,,long,True,2026-03-29 19:07:20,20260329_190720_ETHFI-USDT-SWAP_long
OPEN,ETHFI-USDT-SWAP,0.0,0.458,5971.0,,Первичный вход + bootstrap-stop,long,True,2026-03-29 19:07:20,20260329_190720_ETHFI-USDT-SWAP_long
close_pending_exchange,ETHFI-USDT-SWAP,0.0,0.458,5971.0,,SYNC recheck during entry recovery: PENDING_RECHECK,long,True,2026-03-29 19:07:24,20260329_190720_ETHFI-USDT-SWAP_long
position_opened,IOTA-USDT-SWAP,0.0,0.05395,5104.0,,,long,True,2026-03-29 19:10:16,20260329_191016_IOTA-USDT-SWAP_long
OPEN,IOTA-USDT-SWAP,0.0,0.05395,5104.0,,Первичный вход + bootstrap-stop,long,True,2026-03-29 19:10:16,20260329_191016_IOTA-USDT-SWAP_long
close_pending_exchange,ETHFI-USDT-SWAP,0.0,0.4582,5971.0,,SYNC confirmed close after exchange absence,long,True,2026-03-29 19:10:19,20260329_190720_ETHFI-USDT-SWAP_long
close_pending_exchange,IOTA-USDT-SWAP,0.0,0.05395,5104.0,,SYNC recheck during entry recovery: PENDING_RECHECK,long,True,2026-03-29 19:10:19,20260329_191016_IOTA-USDT-SWAP_long
close_pending_exchange,LINK-USDT-SWAP,0.0,8.418,330.16,,SYNC confirmed close after exchange absence,short,True,2026-03-29 19:10:19,20260329_183347_LINK-USDT-SWAP_short
close_pending_exchange,LQTY-USDT-SWAP,0.0,0.2709,20205.8,,SYNC confirmed close after exchange absence,long,True,2026-03-29 19:10:19,20260329_183353_LQTY-USDT-SWAP_long
close_pending_exchange,LTC-USDT-SWAP,0.0,53.41,51.5,,SYNC confirmed close after exchange absence,short,True,2026-03-29 19:10:19,20260329_183349_LTC-USDT-SWAP_short
close_pending_exchange,SOL-USDT-SWAP,0.0,81.76,34.55,,SYNC confirmed close after exchange absence,short,True,2026-03-29 19:10:19,20260329_183054_SOL-USDT-SWAP_short
position_closed,SOL-USDT-SWAP,0.0,0.0,34.55,синхронизация:_позиция_отсутствует_на_бирже,Синхронизация: позиция отсутствует на бирже,short,True,2026-03-29 19:10:28,20260329_183054_SOL-USDT-SWAP_short
CLOSE,SOL-USDT-SWAP,0.0,81.82,34.55,,Синхронизация: позиция отсутствует на бирже,short,True,2026-03-29 19:10:28,20260329_183054_SOL-USDT-SWAP_short
position_closed,LINK-USDT-SWAP,0.0,0.0,330.16,синхронизация:_позиция_отсутствует_на_бирже,Синхронизация: позиция отсутствует на бирже,short,True,2026-03-29 19:10:39,20260329_183347_LINK-USDT-SWAP_short
CLOSE,LINK-USDT-SWAP,0.0,8.425,330.16,,Синхронизация: позиция отсутствует на бирже,short,True,2026-03-29 19:10:39,20260329_183347_LINK-USDT-SWAP_short
close_pending_exchange,LTC-USDT-SWAP,0.0,53.49,103.0,,SYNC confirmed close after exchange absence,short,True,2026-03-29 19:20:44,20260329_183349_LTC-USDT-SWAP_short
position_closed,LTC-USDT-SWAP,0.0,0.0,103.0,синхронизация:_позиция_отсутствует_на_бирже,Синхронизация: позиция отсутствует на бирже,short,True,2026-03-29 19:20:53,20260329_183349_LTC-USDT-SWAP_short
CLOSE,LTC-USDT-SWAP,0.0,53.58,103.0,,Синхронизация: позиция отсутствует на бирже,short,True,2026-03-29 19:20:53,20260329_183349_LTC-USDT-SWAP_short
position_opened,LINK-USDT-SWAP,0.0,8.45,332.67,,,long,True,2026-03-29 19:23:03,20260329_192303_LINK-USDT-SWAP_long
OPEN,LINK-USDT-SWAP,0.0,8.45,332.67,,Первичный вход + bootstrap-stop,long,True,2026-03-29 19:23:03,20260329_192303_LINK-USDT-SWAP_long
close_pending_exchange,ETHFI-USDT-SWAP,0.0,0.45855,11942.0,,SYNC confirmed close after exchange absence,long,True,2026-03-29 19:23:06,20260329_190720_ETHFI-USDT-SWAP_long
close_pending_exchange,LINK-USDT-SWAP,0.0,8.45,332.67,,SYNC recheck during entry recovery: PENDING_RECHECK,long,True,2026-03-29 19:23:06,20260329_192303_LINK-USDT-SWAP_long
close_pending_exchange,LQTY-USDT-SWAP,0.0,0.2713,40411.6,,SYNC confirmed close after exchange absence,long,True,2026-03-29 19:23:06,20260329_183353_LQTY-USDT-SWAP_long
position_closed,LQTY-USDT-SWAP,0.0,0.0,40411.6,синхронизация:_позиция_отсутствует_на_бирже,Синхронизация: позиция отсутствует на бирже,long,True,2026-03-29 19:23:09,20260329_183353_LQTY-USDT-SWAP_long
CLOSE,LQTY-USDT-SWAP,0.0,0.2711,40411.6,,Синхронизация: позиция отсутствует на бирже,long,True,2026-03-29 19:23:09,20260329_183353_LQTY-USDT-SWAP_long
close_pending_exchange,ETHFI-USDT-SWAP,0.0,0.4589,11942.0,,SYNC confirmed close after stop fault: PENDING_RECHECK,long,True,2026-03-29 19:24:57,20260329_190720_ETHFI-USDT-SWAP_long
position_closed,ETHFI-USDT-SWAP,0.0,0.0,11942.0,sync_confirmed_close_after_stop_fault:_pending_recheck,SYNC confirmed close after stop fault: PENDING_RECHECK,long,True,2026-03-29 19:24:57,20260329_190720_ETHFI-USDT-SWAP_long
CLOSE,ETHFI-USDT-SWAP,0.0,0.4589,11942.0,,SYNC confirmed close after stop fault: PENDING_RECHECK,long,True,2026-03-29 19:24:57,20260329_190720_ETHFI-USDT-SWAP_long
close_pending_exchange,IOTA-USDT-SWAP,0.0,0.05396,5104.0,,SYNC confirmed close after exchange absence,long,True,2026-03-29 19:32:55,20260329_191016_IOTA-USDT-SWAP_long
close_pending_exchange,IOTA-USDT-SWAP,0.0,0.05389,5104.0,,SYNC confirmed close after stop fault: PENDING_RECHECK,long,True,2026-03-29 19:35:44,20260329_191016_IOTA-USDT-SWAP_long
position_closed,IOTA-USDT-SWAP,0.0,0.0,5104.0,sync_confirmed_close_after_stop_fault:_pending_recheck,SYNC confirmed close after stop fault: PENDING_RECHECK,long,True,2026-03-29 19:35:44,20260329_191016_IOTA-USDT-SWAP_long
CLOSE,IOTA-USDT-SWAP,0.0,0.05389,5104.0,,SYNC confirmed close after stop fault: PENDING_RECHECK,long,True,2026-03-29 19:35:44,20260329_191016_IOTA-USDT-SWAP_long
close_pending_exchange,LINK-USDT-SWAP,0.0,8.44,332.67,,SYNC confirmed close after exchange absence,long,True,2026-03-29 19:38:27,20260329_192303_LINK-USDT-SWAP_long
position_closed,LINK-USDT-SWAP,0.0,0.0,332.67,синхронизация:_позиция_отсутствует_на_бирже,Синхронизация: позиция отсутствует на бирже,long,True,2026-03-29 19:38:30,20260329_192303_LINK-USDT-SWAP_long
CLOSE,LINK-USDT-SWAP,0.0,8.433,332.67,,Синхронизация: позиция отсутствует на бирже,long,True,2026-03-29 19:38:30,20260329_192303_LINK-USDT-SWAP_long
position_opened,MAGIC-USDT-SWAP,0.0,0.05554,50951.0,,,short,True,2026-03-29 19:46:08,20260329_194607_MAGIC-USDT-SWAP_short
OPEN,MAGIC-USDT-SWAP,0.0,0.05554,50951.0,,Первичный вход + bootstrap-stop,short,True,2026-03-29 19:46:08,20260329_194607_MAGIC-USDT-SWAP_short
close_pending_exchange,MAGIC-USDT-SWAP,0.0,0.05554,50951.0,,SYNC recheck during entry recovery: PENDING_RECHECK,short,True,2026-03-29 19:46:11,20260329_194607_MAGIC-USDT-SWAP_short
position_opened,LIT-USDT-SWAP,0.0,0.842,333.0,,,short,True,2026-03-29 19:51:20,20260329_195120_LIT-USDT-SWAP_short
OPEN,LIT-USDT-SWAP,0.0,0.842,333.0,,Первичный вход + bootstrap-stop,short,True,2026-03-29 19:51:20,20260329_195120_LIT-USDT-SWAP_short
close_pending_exchange,LIT-USDT-SWAP,0.0,0.842,333.0,,SYNC recheck during entry recovery: PENDING_RECHECK,short,True,2026-03-29 19:51:24,20260329_195120_LIT-USDT-SWAP_short
