breakout_id,cooldown_blocked,cooldown_expired,cooldown_required_seconds,event,final_decision_allow_true_false,final_reason,inst_id,last_exit_reason,last_trade_pnl,price,recent_stopout_present,recent_trade_penalty,recovery_atr_actual,recovery_atr_required,recovery_blocked,seconds_since_last_close,side,timeframe,ts
,,,,reentry_check,True,scan,SAND-USDT-SWAP,,,0.0735,False,0.0,,,,,scan,5m,2026-03-29 04:28:58
,False,,,reentry_check,True,ok,THETA-USDT-SWAP,,,0.1519,False,,,,False,,long,5m,2026-03-29 04:29:11
,False,,,reentry_check,True,ok,THETA-USDT-SWAP,,,0.1519,False,,,,False,,short,5m,2026-03-29 04:29:11
,False,,,reentry_check,True,ok,YFI-USDT-SWAP,,,2389.0,False,,,,False,,long,5m,2026-03-29 04:29:26
,False,,,reentry_check,True,ok,YFI-USDT-SWAP,,,2389.0,False,,,,False,,short,5m,2026-03-29 04:29:26
,False,,,reentry_check,True,ok,AAVE-USDT-SWAP,,,96.94,False,,,,False,,long,5m,2026-03-29 04:29:52
,False,,,reentry_check,True,ok,AAVE-USDT-SWAP,,,96.94,False,,,,False,,short,5m,2026-03-29 04:29:52
,False,,,reentry_check,True,ok,ALGO-USDT-SWAP,,,0.082,False,,,,False,,long,5m,2026-03-29 04:30:00
,False,,,reentry_check,True,ok,ALGO-USDT-SWAP,,,0.082,False,,,,False,,short,5m,2026-03-29 04:30:00
,False,,,reentry_check,True,ok,ASTER-USDT-SWAP,,,0.6591,False,,,,False,,long,5m,2026-03-29 04:30:04
,False,,,reentry_check,True,ok,ASTER-USDT-SWAP,,,0.6591,False,,,,False,,short,5m,2026-03-29 04:30:04
,False,,,reentry_check,True,ok,BTC-USDT-SWAP,,,66517.0,False,,,,False,,long,5m,2026-03-29 04:30:21
,False,,,reentry_check,True,ok,BTC-USDT-SWAP,,,66517.0,False,,,,False,,short,5m,2026-03-29 04:30:21
,False,,,reentry_check,True,ok,COMP-USDT-SWAP,,,18.3,False,,,,False,,long,5m,2026-03-29 04:30:30
,False,,,reentry_check,True,ok,COMP-USDT-SWAP,,,18.3,False,,,,False,,short,5m,2026-03-29 04:30:30
