early_exit_flag,early_exit_gap_pct,inst_id,last_stop_move_reason,mae_pct,market_risk_score,mfe_pct,pnl_pct,side,stop_move_events,trade_id,unit_add_events
False,0.0,MINA-USDT-SWAP,closed_candle,1.181912,101.75,0.0,-0.32877649774612405,short,0,20260322_010840_MINA-USDT-SWAP_short,0
False,0.000479,LTC-USDT-SWAP,closed_candle,1.004542,88.5,0.000479,-0.10720216701523419,short,0,20260322_010610_LTC-USDT-SWAP_short,0
False,0.0,IMX-USDT-SWAP,closed_candle,1.528833,70.25,0.0,-0.28001563995919165,short,0,20260322_010606_IMX-USDT-SWAP_short,0
False,0.0,MINA-USDT-SWAP,closed_candle,1.15406,101.75,0.0,-0.301158535988216,short,0,20260322_010601_MINA-USDT-SWAP_short,0
False,0.203908,BAND-USDT-SWAP,force_replace_place_failed:initial_stop_verify_recover,1.372294,29.25,0.203908,-0.20140093886502103,short,0,20260322_005543_BAND-USDT-SWAP_short,0
False,0.0,KSM-USDT-SWAP,force_replace_place_failed:initial_stop_verify_recover,0.754855,21.0,0.0,-0.1619210663923841,short,0,20260322_005011_KSM-USDT-SWAP_short,0
False,0.048334,MASK-USDT-SWAP,manage_cycle_reconcile,1.218236,21.25,0.048334,-0.14487168217268948,short,0,20260322_002627_MASK-USDT-SWAP_short,0
False,0.0,COMP-USDT-SWAP,manage_cycle_reconcile,0.676027,424.25,0.0,0.0,short,0,20260322_003522_COMP-USDT-SWAP_short,0
False,0.200474,LQTY-USDT-SWAP,manage_cycle_reconcile,4.41155,26.25,0.200474,-0.7902572657085044,long,0,20260322_002551_LQTY-USDT-SWAP_long,0
False,0.053653,AAVE-USDT-SWAP,manage_cycle_reconcile,0.535634,289.5,0.053653,-0.27670480348681087,long,1,20260321_235543_AAVE-USDT-SWAP_long,0
False,0.031647,AVAX-USDT-SWAP,closed_candle,0.535521,77.25,0.031647,-0.15740886650030783,long,0,20260321_232607_AVAX-USDT-SWAP_long,0
False,0.067016,XTZ-USDT-SWAP,pre_close:Ошибка: первичный стоп не подтверждён на бирже,0.764775,21.0,0.067016,-0.48393422992553115,long,0,20260322_000712_XTZ-USDT-SWAP_long,1
False,0.0,IMX-USDT-SWAP,closed_candle,1.249898,70.25,0.0,-0.2560342081138993,short,0,20260322_001014_IMX-USDT-SWAP_short,0
False,0.032789,XTZ-USDT-SWAP,pre_close:Ошибка: первичный стоп не подтверждён на бирже,0.773724,21.0,0.032789,-0.21924651825478264,long,0,20260322_000630_XTZ-USDT-SWAP_long,0
