atr,body_atr,body_to_range_ratio,breakout_buffer_atr_actual,breakout_level,channel_width_atr,close_beyond_channel_atr,distance_from_breakout_level_atr,donchian_high,donchian_low,entry_mode,entry_price,event,fresh_breakout_true_false,inst_id,side,system_name,timeframe,ts
0.00036,1.944444,1.0,0.182988,0.3968,10.555556,0.277778,-0.182988,0.3968,0.393,minimal,0.39673412,breakout_quality,True,XTZ-USDT-SWAP,long,Turtle 55,5m,2026-03-22 00:07:14
0.000105,0.952381,1.0,4.877942,0.1615,14.285714,0.952381,4.877942,0.163,0.1615,minimal,0.16098782,breakout_quality,True,IMX-USDT-SWAP,short,Turtle 55,5m,2026-03-22 00:10:17
0.00755,0.264901,1.0,1.457654,9.522,6.887417,0.264901,-1.457654,9.522,9.47,minimal,9.51099472,breakout_quality,True,AVAX-USDT-SWAP,long,Turtle 55,5m,2026-03-22 00:13:48
0.000425,0.235294,0.333333,2.22687,0.4669,14.352941,0.941176,2.22687,0.473,0.4669,minimal,0.46595358,breakout_quality,True,MASK-USDT-SWAP,short,Turtle 55,5m,2026-03-22 00:25:08
0.00106,1.226415,0.52,0.578479,0.2921,11.603774,0.188679,0.578479,0.2921,0.2798,minimal,0.29271319,breakout_quality,True,LQTY-USDT-SWAP,long,Turtle 55,5m,2026-03-22 00:25:54
0.000425,0.235294,0.333333,2.529056,0.4669,14.352941,0.941176,2.529056,0.473,0.4669,minimal,0.46582515,breakout_quality,True,MASK-USDT-SWAP,short,Turtle 55,5m,2026-03-22 00:26:30
0.0001025,1.95122,0.952381,1.191244,0.06372,4.195122,1.073171,1.191244,0.06415,0.06372,minimal,0.0635979,breakout_quality,True,CFX-USDT-SWAP,short,Turtle 20,5m,2026-03-22 00:35:21
0.017,0.588235,1.0,0.588235,19.24,3.529412,0.588235,0.588235,19.3,19.24,minimal,19.23,breakout_quality,True,COMP-USDT-SWAP,short,Turtle 20,5m,2026-03-22 00:35:24
0.02,2.5,1.0,2.5,19.23,3.5,2.0,2.5,19.3,19.23,minimal,19.18,breakout_quality,True,COMP-USDT-SWAP,short,Turtle 20,5m,2026-03-22 00:50:10
0.0023,2.608696,1.0,5.379687,4.566,9.565217,2.608696,5.379687,4.588,4.566,minimal,4.55362672,breakout_quality,True,KSM-USDT-SWAP,short,Turtle 20,5m,2026-03-22 00:50:13
0.101,0.594059,1.0,0.223536,111.63,4.257426,0.09901,-0.223536,112.06,111.63,minimal,111.65257715,breakout_quality,True,AAVE-USDT-SWAP,short,Turtle 20,5m,2026-03-22 00:50:43
0.000165,1.818182,1.0,1.863744,0.2974,6.666667,0.606061,1.863744,0.2985,0.2974,minimal,0.29709248,breakout_quality,True,LDO-USDT-SWAP,short,Turtle 20,5m,2026-03-22 00:55:10
0.000265,1.132075,1.0,5.083835,0.2234,6.415094,1.886792,5.083835,0.2251,0.2234,minimal,0.22205278,breakout_quality,True,BAND-USDT-SWAP,short,Turtle 20,5m,2026-03-22 00:55:47
0.000144,1.25,1.0,1.898845,0.1219,5.555556,0.555556,1.898845,0.1227,0.1219,minimal,0.12162657,breakout_quality,True,OP-USDT-SWAP,short,Turtle 55,5m,2026-03-22 01:06:00
4.7e-05,3.191489,1.0,2.692543,0.05875,11.702128,1.489362,2.692543,0.0593,0.05875,minimal,0.05862345,breakout_quality,True,MINA-USDT-SWAP,short,Turtle 55,5m,2026-03-22 01:06:05
0.00012,3.333333,1.0,5.403745,0.1608,18.333333,2.5,5.403745,0.163,0.1608,minimal,0.16015155,breakout_quality,True,IMX-USDT-SWAP,short,Turtle 55,5m,2026-03-22 01:06:09
0.0255,2.745098,1.0,2.734641,55.79,7.843137,2.745098,2.734641,55.99,55.79,minimal,55.72026667,breakout_quality,True,LTC-USDT-SWAP,short,Turtle 20,5m,2026-03-22 01:06:14
0.00305,2.295082,0.636364,1.311475,3.101,3.278689,1.311475,1.311475,3.111,3.101,minimal,3.097,breakout_quality,True,INJ-USDT-SWAP,short,Turtle 20,5m,2026-03-22 01:06:18
4.7e-05,3.191489,1.0,3.035895,0.05875,11.702128,1.489362,3.035895,0.0593,0.05875,minimal,0.05860731,breakout_quality,True,MINA-USDT-SWAP,short,Turtle 55,5m,2026-03-22 01:08:44
0.0255,2.745098,1.0,0.392157,55.79,7.843137,2.745098,0.392157,55.99,55.79,minimal,55.78,breakout_quality,True,LTC-USDT-SWAP,short,Turtle 20,5m,2026-03-22 01:08:48
4.7e-05,3.191489,1.0,3.856417,0.05875,11.702128,1.489362,3.856417,0.0593,0.05875,minimal,0.05856875,breakout_quality,True,MINA-USDT-SWAP,short,Turtle 55,5m,2026-03-22 01:10:06
0.00051,0.392157,0.090909,1.035972,0.2648,3.529412,0.392157,1.035972,0.2666,0.2648,minimal,0.26427165,breakout_quality,True,ADA-USDT-SWAP,short,Turtle 20,5m,2026-03-22 01:11:19
0.001445,0.415225,0.4,0.798845,1.316,7.958478,0.415225,0.798845,1.3275,1.316,minimal,1.31484567,breakout_quality,True,NEAR-USDT-SWAP,short,Turtle 55,5m,2026-03-22 01:25:51
0.0027,0.0,0.0,2.055698,4.541,18.518519,0.37037,2.055698,4.591,4.541,minimal,4.53544962,breakout_quality,True,KSM-USDT-SWAP,short,Turtle 55,5m,2026-03-22 01:25:57
0.00105,1.904762,1.0,2.8515,2.218,4.761905,0.952381,2.8515,2.223,2.218,minimal,2.21500593,breakout_quality,True,LPT-USDT-SWAP,short,Turtle 20,5m,2026-03-22 01:26:01
0.00105,1.904762,1.0,3.780384,2.218,4.761905,0.952381,3.780384,2.223,2.218,minimal,2.2140306,breakout_quality,True,LPT-USDT-SWAP,short,Turtle 20,5m,2026-03-22 01:27:55
0.00105,1.904762,1.0,5.596456,2.218,4.761905,0.952381,5.596456,2.223,2.218,minimal,2.21212372,breakout_quality,True,LPT-USDT-SWAP,short,Turtle 20,5m,2026-03-22 01:29:16
0.00305,2.622951,1.0,1.311475,3.111,5.901639,0.655738,1.311475,3.111,3.093,minimal,3.115,breakout_quality,True,INJ-USDT-SWAP,long,Turtle 20,5m,2026-03-22 01:35:21
1e-05,0.0,0.0,10.0,0.1524,30.0,10.0,10.0,0.1524,0.1521,minimal,0.1525,breakout_quality,True,MET-USDT-SWAP,long,Turtle 55,5m,2026-03-22 01:45:15
0.000205,1.463415,1.0,1.311056,0.2967,8.780488,1.463415,1.311056,0.2985,0.2967,minimal,0.29643123,breakout_quality,True,LDO-USDT-SWAP,short,Turtle 55,5m,2026-03-22 01:50:24
0.000232,1.724138,0.666667,2.142744,0.1216,4.741379,1.293103,2.142744,0.1227,0.1216,minimal,0.12110288,breakout_quality,True,OP-USDT-SWAP,short,Turtle 55,5m,2026-03-22 01:55:12
0.001555,1.286174,1.0,0.043767,1.3145,8.360129,0.321543,0.043767,1.3275,1.3145,minimal,1.31443194,breakout_quality,True,NEAR-USDT-SWAP,short,Turtle 55,5m,2026-03-22 01:55:16
0.0019,2.105263,1.0,2.605948,2.506,8.421053,1.052632,2.605948,2.522,2.506,minimal,2.5010487,breakout_quality,True,ICP-USDT-SWAP,short,Turtle 55,5m,2026-03-22 01:55:21
0.000232,1.724138,0.666667,1.717938,0.1216,4.741379,1.293103,1.717938,0.1227,0.1216,minimal,0.12120144,breakout_quality,True,OP-USDT-SWAP,short,Turtle 55,5m,2026-03-22 01:57:20
0.0019,2.105263,1.0,3.009428,2.506,8.421053,1.052632,3.009428,2.522,2.506,minimal,2.50028209,breakout_quality,True,ICP-USDT-SWAP,short,Turtle 55,5m,2026-03-22 01:57:25
0.000232,1.724138,0.666667,1.27745,0.1216,4.741379,1.293103,1.27745,0.1227,0.1216,minimal,0.12130363,breakout_quality,True,OP-USDT-SWAP,short,Turtle 55,5m,2026-03-22 01:59:14
0.0019,2.105263,1.0,1.469212,2.506,8.421053,1.052632,1.469212,2.522,2.506,minimal,2.5032085,breakout_quality,True,ICP-USDT-SWAP,short,Turtle 55,5m,2026-03-22 01:59:19
5.35e-05,0.747664,1.0,1.495047,0.02394,22.429907,0.560748,1.495047,0.02514,0.02394,minimal,0.02386001,breakout_quality,True,LRC-USDT-SWAP,short,Turtle 55,5m,2026-03-22 02:05:51
6.6e-05,0.0,0.0,2.120799,0.05854,11.515152,0.30303,2.120799,0.0593,0.05854,minimal,0.05840003,breakout_quality,True,MINA-USDT-SWAP,short,Turtle 55,5m,2026-03-22 02:05:55
0.00755,1.324503,0.833333,0.787148,9.064,4.238411,0.264901,0.787148,9.096,9.064,minimal,9.05805703,breakout_quality,True,LINK-USDT-SWAP,short,Turtle 20,5m,2026-03-22 02:06:00
0.485,1.649485,1.0,0.823941,467.0,4.123711,0.618557,0.823941,469.0,467.0,minimal,466.60038882,breakout_quality,True,BCH-USDT-SWAP,short,Turtle 20,5m,2026-03-22 02:06:05
0.00845,0.828402,1.0,1.300785,9.478,4.378698,0.35503,1.300785,9.515,9.478,minimal,9.46700837,breakout_quality,True,AVAX-USDT-SWAP,short,Turtle 20,5m,2026-03-22 02:06:09
0.000175,1.714286,1.0,3.127471,0.1601,14.857143,1.142857,3.127471,0.1627,0.1601,minimal,0.15955269,breakout_quality,True,IMX-USDT-SWAP,short,Turtle 55,5m,2026-03-22 02:12:19
0.00033,0.909091,1.0,1.655375,0.4656,17.878788,1.818182,1.655375,0.4715,0.4656,minimal,0.46505373,breakout_quality,True,MASK-USDT-SWAP,short,Turtle 55,5m,2026-03-22 02:15:24
0.000105,1.904762,1.0,0.0,0.0991,9.52381,0.952381,0.0,0.1001,0.0991,minimal,0.0991,breakout_quality,True,ARB-USDT-SWAP,short,Turtle 55,5m,2026-03-22 02:31:04
0.00014,0.0,0.0,1.428571,0.0883,5.714286,0.714286,1.428571,0.0891,0.0883,minimal,0.0881,breakout_quality,True,ALGO-USDT-SWAP,short,Turtle 20,5m,2026-03-22 02:31:08
0.00075,1.333333,1.0,1.2,1.4456,3.066667,1.2,1.2,1.4456,1.4433,minimal,1.4465,breakout_quality,True,XRP-USDT-SWAP,long,Turtle 20,5m,2026-03-22 02:40:20
0.00075,1.333333,1.0,0.644025,1.4456,3.066667,1.2,0.644025,1.4456,1.4433,minimal,1.44608302,breakout_quality,True,XRP-USDT-SWAP,long,Turtle 20,5m,2026-03-22 02:41:57
0.00345,0.869565,0.6,1.558315,3.116,6.666667,0.57971,1.558315,3.116,3.093,minimal,3.12137619,breakout_quality,True,INJ-USDT-SWAP,long,Turtle 55,5m,2026-03-22 02:45:18
0.00345,0.869565,0.6,4.927536,3.116,6.666667,0.57971,-4.927536,3.116,3.093,minimal,3.099,breakout_quality,True,INJ-USDT-SWAP,long,Turtle 55,5m,2026-03-22 02:48:26
0.0315,3.174603,1.0,3.809524,19.14,5.079365,2.857143,3.809524,19.3,19.14,minimal,19.02,breakout_quality,True,COMP-USDT-SWAP,short,Turtle 55,5m,2026-03-22 02:50:37
0.000195,0.0,0.0,6.327715,0.167,12.307692,4.102564,6.327715,0.1694,0.167,minimal,0.1657661,breakout_quality,True,THETA-USDT-SWAP,short,Turtle 55,5m,2026-03-22 02:50:41
0.00027,2.222222,0.857143,2.598515,0.0833,5.185185,0.740741,2.598515,0.0847,0.0833,minimal,0.0825984,breakout_quality,True,CELO-USDT-SWAP,short,Turtle 20,5m,2026-03-22 02:50:46
0.000895,1.899441,1.0,1.347325,0.2867,6.815642,0.670391,1.347325,0.2928,0.2867,minimal,0.28549414,breakout_quality,True,LQTY-USDT-SWAP,short,Turtle 20,5m,2026-03-22 02:50:50
0.000195,0.0,0.0,14.358974,0.167,12.307692,4.102564,14.358974,0.1694,0.167,minimal,0.1642,breakout_quality,True,THETA-USDT-SWAP,short,Turtle 55,5m,2026-03-22 02:53:36
0.00026733,1.954887,1.0,7.936259,0.019305,12.063741,7.936259,7.936259,0.019305,0.01608,minimal,0.0214266,breakout_quality,True,ZBCN-USDT-SWAP,long,Turtle 55,5m,2026-03-22 03:45:11
0.6,2.333333,1.0,0.332866,638.5,6.333333,0.333333,0.332866,642.3,638.5,minimal,638.30028011,breakout_quality,True,BNB-USDT-SWAP,short,Turtle 55,5m,2026-03-22 03:47:38
0.00121,0.991736,0.923077,0.778212,0.1612,5.454545,0.661157,0.778212,0.1612,0.1546,minimal,0.16214164,breakout_quality,True,IMX-USDT-SWAP,long,Turtle 20,5m,2026-03-22 03:50:35
0.00365,1.917808,1.0,2.191781,1.041,13.424658,2.191781,2.191781,1.09,1.041,minimal,1.033,breakout_quality,True,LIT-USDT-SWAP,short,Turtle 55,5m,2026-03-22 04:10:13
0.0002675,0.598131,1.0,0.579071,0.05697,11.514019,0.261682,0.579071,0.06005,0.05697,minimal,0.0568151,breakout_quality,True,MINA-USDT-SWAP,short,Turtle 55,5m,2026-03-22 04:40:14
0.00033,0.606061,1.0,0.909091,0.0786,13.333333,0.606061,0.909091,0.083,0.0786,minimal,0.0783,breakout_quality,True,SAND-USDT-SWAP,short,Turtle 55,5m,2026-03-22 04:40:18
0.028415,0.09502,1.0,1.713884,3.2337,105577925.965159,1.713884,1.713884,3000000.0,3.2337,minimal,3.185,breakout_quality,True,XSR-USDT-SWAP,short,Turtle 55,5m,2026-03-22 04:40:23
0.034,1.176471,0.8,0.294118,18.88,5.294118,0.294118,0.294118,18.88,18.7,minimal,18.89,breakout_quality,True,COMP-USDT-SWAP,long,Turtle 20,5m,2026-03-22 05:25:34
0.00145,1.241379,1.0,0.017442,1.4432,2.827586,0.137931,0.017442,1.4473,1.4432,minimal,1.44317471,breakout_quality,True,XRP-USDT-SWAP,short,Turtle 55,5m,2026-03-22 05:30:59
