early_exit_flag,early_exit_gap_pct,inst_id,last_stop_move_reason,mae_pct,market_risk_score,mfe_pct,pnl_pct,side,stop_move_events,trade_id,unit_add_events
False,2.735567,ETHFI-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,3.748728,1209.25,2.735567,-3.262406234002842,short,0,20260317_030717_ETHFI-USDT-SWAP_short,0
False,2.735567,ETHFI-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,3.748728,1209.25,2.735567,-3.262406234002842,short,0,20260317_030620_ETHFI-USDT-SWAP_short,0
False,2.735567,ETHFI-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,3.748728,1209.25,2.735567,-3.262406234002842,short,0,20260317_030527_ETHFI-USDT-SWAP_short,0
False,2.735567,ETHFI-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,3.748728,1209.25,2.735567,-3.262406234002842,short,0,20260317_030441_ETHFI-USDT-SWAP_short,0
False,2.735567,ETHFI-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,3.748728,1209.25,2.735567,-3.262406234002842,short,0,20260317_030346_ETHFI-USDT-SWAP_short,0
False,0.828966,LINK-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,0.447832,292.25,0.828966,0.0,long,0,20260317_030346_LINK-USDT-SWAP_long,0
False,2.735567,ETHFI-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,3.748728,1209.25,2.735567,-3.262406234002842,short,0,20260317_030257_ETHFI-USDT-SWAP_short,0
False,2.735567,ETHFI-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,3.748728,1209.25,2.735567,-3.262406234002842,short,0,20260317_030210_ETHFI-USDT-SWAP_short,0
False,2.735567,ETHFI-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,3.748728,1209.25,2.735567,-3.262406234002842,short,0,20260317_030122_ETHFI-USDT-SWAP_short,0
False,2.735567,ETHFI-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,3.748728,1209.25,2.735567,-3.262406234002842,short,0,20260317_030035_ETHFI-USDT-SWAP_short,0
False,2.735567,ETHFI-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,3.748728,1209.25,2.735567,-3.262406234002842,short,0,20260317_025945_ETHFI-USDT-SWAP_short,0
False,2.735567,ETHFI-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,3.748728,1209.25,2.735567,-3.262406234002842,short,0,20260317_025900_ETHFI-USDT-SWAP_short,0
False,2.735567,ETHFI-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,3.748728,1209.25,2.735567,-3.262406234002842,short,0,20260317_025815_ETHFI-USDT-SWAP_short,0
False,2.735567,ETHFI-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,3.748728,1209.25,2.735567,-3.262406234002842,short,0,20260317_025731_ETHFI-USDT-SWAP_short,0
False,2.735567,ETHFI-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,3.748728,1209.25,2.735567,-3.262406234002842,short,0,20260317_025647_ETHFI-USDT-SWAP_short,0
