duration_sec,early_exit_flag,early_exit_gap_pct,entry_quality,entry_type,exit_efficiency,exit_reason,inst_id,last_stop_move_reason,mae_pct,mae_r,market_risk_score,mfe_pct,mfe_r,pyramid_effect_label,pyramid_effect_score,realized_pnl,realized_pnl_pct,side,stop_efficiency,stop_errors_for_symbol,stop_move_count,stop_rejects_for_symbol,trade_id,trend_capture_ratio,trend_strength_r,unit_add_count,units
894,False,7.96979,strong,Turtle 20,0.0,локальный_защитный_выход_2.0n,YFI-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,1.939483,1.102948,20.0,7.96979,4.532272,no_pyramid,-0.966251,-9.467279999999967,-0.966251142994241,long,0.327257,5,1,4,20260317_093513_YFI-USDT-SWAP_long,-0.121239,4.532272,0,1
415,False,0.107806,weak,Turtle 20,0.0,локальный_защитный_выход_2.0n,QTUM-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,3.391726,15.991705,78.25,0.107806,0.508295,no_pyramid,-0.952658,-9.747000000000037,-0.9526583438972528,long,-5.10207,19,0,16,20260317_094102_QTUM-USDT-SWAP_long,-8.836784,0.508295,0,1
176,False,32.77628,strong,Turtle 20,0.0,локальный_защитный_выход_2.0n,THETA-USDT-SWAP,initial_turtle_stop,1.455526,4.821429,19.0,32.77628,108.571429,no_pyramid,-0.485175,-4.932000000000065,-0.48517520215634063,long,0.191118,3,0,5,20260317_094107_THETA-USDT-SWAP_long,-0.014803,108.571429,0,1
455,False,1.364985,strong,Turtle 20,0.0,локальный_защитный_выход_2.0n,MET-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,1.186944,4.0,9.5,1.364985,4.6,no_pyramid,-0.41543,-4.284000000000038,-0.4154302670623182,long,0.017391,1,0,3,20260317_093611_MET-USDT-SWAP_long,-0.304348,4.6,0,1
862,False,0.126548,weak,Turtle 20,0.0,локальный_защитный_выход_2.0n,LPT-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,30.146219,75.682299,2.75,0.126548,0.317701,no_pyramid,-0.166955,-1.666800000000069,-0.16695490795143975,long,-0.391581,0,1,1,20260317_092555_LPT-USDT-SWAP_long,-1.319301,0.317701,0,1
862,False,2.745749,strong,Turtle 20,-1.153846,локальный_защитный_выход_2.0n,AAVE-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,4.072999,8.169717,34.25,2.745749,5.507488,no_pyramid,-0.12443,-1.2554999999999288,-0.12442969722106303,long,0.37281,7,1,8,20260317_092551_AAVE-USDT-SWAP_long,-0.045317,5.507488,0,1
882,False,32.680017,strong,Turtle 20,0.0,локальный_защитный_выход_2.0n,MASK-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,0.937367,2.60355,5.0,32.680017,90.769231,no_pyramid,0.0,0.0,0.0,long,0.4,0,1,2,20260317_092047_MASK-USDT-SWAP_long,0.0,90.769231,0,1
1202,True,28.415999,strong,Turtle 20,0.153846,локальный_защитный_выход_2.0n,NEO-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,1.248662,5.072464,21.75,28.433821,115.507246,neutral,0.004456,0.7180000000002398,0.017822135091789947,long,0.200376,3,0,6,20260317_091522_NEO-USDT-SWAP_long,0.000627,115.507246,3,4
428,True,33.180134,strong,Turtle 20,1.0,локальный_защитный_выход_2.0n,THETA-USDT-SWAP,initial_turtle_stop,1.135749,3.5,19.0,33.207139,102.333333,neutral,0.006751,1.0759999999980896,0.02700513097483727,long,0.200488,3,0,5,20260317_092052_THETA-USDT-SWAP_long,0.000813,102.333333,3,4
999,False,1.151371,strong,Turtle 20,-2.364103,локальный_защитный_выход_2.0n,LRC-USDT-SWAP,initial_turtle_stop,0.778869,2.987013,40.0,1.151371,4.415584,hurt,-0.059373,-10.14200000002845,-0.237491512641292,long,0.076239,8,0,9,20260317_090602_LRC-USDT-SWAP_long,-0.206268,4.415584,3,4
506,False,0.136206,weak,Turtle 55,-1.058053,локальный_защитный_выход_2.0n,XAG-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,2.105002,4.58221,100.0,0.136206,0.296496,hurt,-0.020397,-1.9537999999998863,-0.061191483177819424,short,-0.069554,19,0,24,20260317_091056_XAG-USDT-SWAP_short,-0.449257,0.296496,2,3
854,False,0.341098,weak,Turtle 55,0.0,локальный_защитный_выход_2.0n,GMT-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,30.008461,7.999976,21.25,0.341098,0.090933,no_pyramid,-1.19343,-12.51728000000378,-1.19343045010378,long,-1.699275,3,1,6,20260317_085600_GMT-USDT-SWAP_long,-3.498791,0.090933,0,1
861,False,1.127053,normal,Turtle 55,0.0,локальный_защитный_выход_2.0n,TSLA-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,8.735445,8.87103,44.25,1.127053,1.144546,no_pyramid,-1.661006,-17.51649999999988,-1.661006389799068,short,-0.484257,7,1,12,20260317_085102_TSLA-USDT-SWAP_short,-1.473761,1.144546,0,1
565,False,0.073901,weak,Turtle 20,-0.034505,локальный_защитный_выход_2.0n,XAG-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,1.564232,3.71345,100.0,0.073901,0.175439,hurt,-0.001134,-0.1924000000000126,-0.004534257731168963,short,0.163186,19,0,24,20260317_085516_XAG-USDT-SWAP_short,-0.061356,0.175439,3,4
889,False,0.21643,weak,Turtle 55,0.0,локальный_защитный_выход_2.0n,LINK-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,33.281752,5.990348,292.25,0.21643,0.038955,no_pyramid,-0.236945,-2.555719999999996,-0.23694477599126695,short,-0.256872,86,1,46,20260317_084550_LINK-USDT-SWAP_short,-1.094787,0.038955,0,1
14,False,0.0,unknown,Turtle 55,0.0,локальный_защитный_выход_2.0n,TSLA-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,9.236653,9.336979,44.25,0.0,0.0,no_pyramid,-1.336995,-14.212499999999885,-1.3369949827763894,short,0.2,7,0,12,20260317_085011_TSLA-USDT-SWAP_short,0.0,0.0,0,1
832,False,0.303644,strong,Turtle 20,0.0,локальный_защитный_выход_2.0n,TRX-USDT-SWAP,missing_stop_recovery,0.303644,4.285714,68.75,0.303644,4.285714,neutral,0.0,0.0,0.0,short,0.4,16,1,14,20260317_082145_TRX-USDT-SWAP_short,0.0,4.285714,2,3
46,False,0.295789,strong,Turtle 20,0.0,локальный_защитный_выход_2.0n,TRX-USDT-SWAP,missing_stop_recovery,0.311547,4.396913,68.75,0.295789,4.174516,hurt,-0.00197,-0.0849999999992157,-0.003939367115146573,short,0.192009,16,0,14,20260317_082022_TRX-USDT-SWAP_short,-0.013318,4.174516,1,2
629,False,0.02426,weak,Turtle 55,0.0,локальный_защитный_выход_2.0n,XAG-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,1.916545,6.220472,100.0,0.02426,0.07874,no_pyramid,-0.400291,-4.243799999999978,-0.4002911208151362,long,-9.700028,19,0,24,20260317_080013_XAG-USDT-SWAP_long,-16.500046,0.07874,0,1
37,False,0.058486,weak,Turtle 20,0.0,локальный_защитный_выход_2.0n,ETHW-USDT-SWAP,unit_added,35.644436,2.763623,45.75,0.058486,0.004535,no_pyramid,-14.27602,-73.11864566885616,-14.27602026196498,short,-146.25577,10,0,10,20260317_080844_ETHW-USDT-SWAP_short,-244.09295,0.004535,0,1
790,False,0.264926,weak,Turtle 55,0.0,локальный_защитный_выход_2.0n,ETHW-USDT-SWAP,unit_added,35.730188,2.873292,45.75,0.264926,0.021304,no_pyramid,-12.942578,-137.71457999999978,-12.942577785162587,short,-29.112135,10,0,10,20260317_075524_ETHW-USDT-SWAP_short,-48.853558,0.021304,0,1
850,False,1.123609,weak,Turtle 55,0.0,локальный_защитный_выход_2.0n,MAGIC-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,32.494364,1.370723,33.5,1.123609,0.047398,no_pyramid,-3.090046,-31.179259999997825,-3.090046151301047,short,-1.250065,9,1,6,20260317_074610_MAGIC-USDT-SWAP_short,-2.750108,0.047398,0,1
916,False,1.647666,strong,Turtle 55,0.0,локальный_защитный_выход_2.0n,QTUM-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,4.722024,7.541086,78.25,1.647666,2.631328,no_pyramid,-0.511551,-4.453999999999947,-0.5115506623512893,short,0.213718,19,1,16,20260317_074015_QTUM-USDT-SWAP_short,-0.31047,2.631328,0,1
823,False,0.505412,weak,Turtle 20,-2.271173,локальный_защитный_выход_2.0n,BTC-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,2.64298,1.154926,36.0,0.505412,0.220854,no_pyramid,-0.38672,-3.158020000000004,-0.38671985488227345,short,-0.059095,14,1,3,20260317_073658_BTC-USDT-SWAP_short,-0.765158,0.220854,0,1
830,False,0.342906,weak,Turtle 55,-0.636364,локальный_защитный_выход_2.0n,MASK-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,33.476211,9.582822,5.0,0.342906,0.09816,no_pyramid,-0.150021,-1.2403999999999618,-0.15002143163308582,short,0.1375,0,1,2,20260317_073647_MASK-USDT-SWAP_short,-0.4375,0.09816,0,1
829,False,0.127119,weak,Turtle 55,-1.142857,локальный_защитный_выход_2.0n,BCH-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,2.330508,3.536977,17.0,0.127119,0.192926,no_pyramid,-0.169492,-1.4168000000000203,-0.16949152542373122,short,-0.399998,3,1,4,20260317_073643_BCH-USDT-SWAP_short,-1.33333,0.192926,0,1
833,False,0.1443,weak,Turtle 55,-1.5,локальный_защитный_выход_2.0n,NEO-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,29.87013,9.904306,21.75,0.1443,0.047847,no_pyramid,-0.108225,-0.9210000000000349,-0.10822510822511235,short,-0.050001,3,1,6,20260317_073634_NEO-USDT-SWAP_short,-0.750001,0.047847,0,1
832,False,0.296788,weak,Turtle 55,-3.428571,локальный_защитный_выход_2.0n,ETHFI-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,32.99581,10.210697,1209.25,0.296788,0.091842,no_pyramid,-0.418994,-3.6096000000001034,-0.4189944134078333,short,-0.447058,268,1,269,20260317_073629_ETHFI-USDT-SWAP_short,-1.411763,0.091842,0,1
598,False,6.409496,weak,Turtle 20,-0.397591,локальный_защитный_выход_2.0n,LDO-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,2.106825,0.2232,15.75,6.409496,0.679032,hurt,-0.306324,-16.837999999999326,-0.9189733782613687,short,0.113974,4,0,3,20260317_073840_LDO-USDT-SWAP_short,-0.143377,0.679032,2,3
1081,False,1.524846,normal,Turtle 20,-0.571683,локальный_защитный_выход_2.0n,MINA-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,3.525162,5.484685,65.5,1.524846,2.372458,hurt,-0.042714,-6.845259999985887,-0.17085496014108584,short,0.332772,12,1,16,20260317_072551_MINA-USDT-SWAP_short,-0.112047,2.372458,3,4
1993,True,3.483637,strong,Turtle 20,0.087962,локальный_защитный_выход_2.0n,LRC-USDT-SWAP,initial_turtle_stop,4.318489,11.636364,40.0,3.54251,9.545455,neutral,0.014718,2.2089000000348316,0.05887304533866316,short,0.409971,8,4,9,20260317_071032_LRC-USDT-SWAP_short,0.016619,9.545455,3,4
808,True,3.701389,strong,Turtle 20,0.674579,локальный_защитный_выход_2.0n,AAVE-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,6.659431,10.877168,34.25,3.805205,6.215223,neutral,0.025954,4.009899999999666,0.10381636668812863,short,0.21637,7,0,8,20260317_072903_AAVE-USDT-SWAP_short,0.027283,6.215223,3,4
432,False,0.283264,normal,Turtle 55,0.491238,локальный_защитный_выход_2.0n,XAG-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,2.069888,8.32504,100.0,0.30676,1.233783,neutral,0.005874,0.9222999999999252,0.0234955313017751,long,0.245956,19,0,24,20260317_073028_XAG-USDT-SWAP_long,0.076593,1.233783,3,4
