block_reason,cooldown_blocked,inst_id,last_exit_reason,last_trade_pnl,price,recovery_blocked,side,ts
cooldown после ATR-стопа ещё активен 1712s; цена отошла только на 0.00 ATR,True,1INCH-USDT-SWAP,ATR стоп 2.0N,0.0,0.0947,True,short,2026-03-21 17:57:16
cooldown после ATR-стопа ещё активен 1681s; цена отошла только на 0.00 ATR,True,1INCH-USDT-SWAP,ATR стоп 2.0N,0.0,0.0947,True,short,2026-03-21 17:57:48
cooldown после ATR-стопа ещё активен 1652s; цена отошла только на 0.00 ATR,True,1INCH-USDT-SWAP,ATR стоп 2.0N,0.0,0.0947,True,short,2026-03-21 17:58:16
cooldown после ATR-стопа ещё активен 1616s; цена отошла только на 0.00 ATR,True,1INCH-USDT-SWAP,ATR стоп 2.0N,0.0,0.0947,True,short,2026-03-21 17:58:52
cooldown после ATR-стопа ещё активен 1589s; цена отошла только на 0.00 ATR,True,1INCH-USDT-SWAP,ATR стоп 2.0N,0.0,0.0947,True,short,2026-03-21 17:59:20
cooldown после ATR-стопа ещё активен 1560s; цена отошла только на 0.00 ATR,True,1INCH-USDT-SWAP,ATR стоп 2.0N,0.0,0.0947,True,short,2026-03-21 17:59:49
cooldown после ATR-стопа ещё активен 1530s; цена отошла только на 0.00 ATR,True,1INCH-USDT-SWAP,ATR стоп 2.0N,0.0,0.0947,True,short,2026-03-21 18:00:18
cooldown после ATR-стопа ещё активен 1483s; цена отошла только на 0.00 ATR,True,1INCH-USDT-SWAP,ATR стоп 2.0N,0.0,0.0947,True,short,2026-03-21 18:01:05
cooldown после ATR-стопа ещё активен 1441s; цена отошла только на 0.00 ATR,True,1INCH-USDT-SWAP,ATR стоп 2.0N,0.0,0.0947,True,short,2026-03-21 18:01:47
cooldown после ATR-стопа ещё активен 1401s; цена отошла только на 0.00 ATR,True,1INCH-USDT-SWAP,ATR стоп 2.0N,0.0,0.0947,True,short,2026-03-21 18:02:27
cooldown после ATR-стопа ещё активен 1361s; цена отошла только на 0.00 ATR,True,1INCH-USDT-SWAP,ATR стоп 2.0N,0.0,0.0947,True,short,2026-03-21 18:03:07
cooldown после ATR-стопа ещё активен 1323s; цена отошла только на 0.00 ATR,True,1INCH-USDT-SWAP,ATR стоп 2.0N,0.0,0.0947,True,short,2026-03-21 18:03:46
cooldown после ATR-стопа ещё активен 1287s; цена отошла только на 0.00 ATR,True,1INCH-USDT-SWAP,ATR стоп 2.0N,0.0,0.0947,True,short,2026-03-21 18:04:21
cooldown после ATR-стопа ещё активен 1249s; цена отошла только на 0.00 ATR,True,1INCH-USDT-SWAP,ATR стоп 2.0N,0.0,0.0947,True,short,2026-03-21 18:04:59
cooldown после ATR-стопа ещё активен 768s; цена отошла только на 0.43 ATR,True,SUI-USDT-SWAP,ATR стоп 2.0N,0.0,0.96208,True,long,2026-03-21 18:05:07
cooldown после ATR-стопа ещё активен 1229s; цена отошла только на 1.00 ATR,True,1INCH-USDT-SWAP,ATR стоп 2.0N,0.0,0.0948,True,short,2026-03-21 18:05:19
cooldown после ATR-стопа ещё активен 77s; цена отошла только на 0.87 ATR,True,INJ-USDT-SWAP,Ошибка: первичный стоп не подтверждён на бирже,0.0,3.116,True,long,2026-03-21 18:05:24
cooldown после ATR-стопа ещё активен 749s; цена отошла только на 0.43 ATR,True,SUI-USDT-SWAP,ATR стоп 2.0N,0.0,0.96208,True,long,2026-03-21 18:05:27
cooldown после ATR-стопа ещё активен 1214s; цена отошла только на 1.00 ATR,True,1INCH-USDT-SWAP,ATR стоп 2.0N,0.0,0.0948,True,short,2026-03-21 18:05:35
cooldown после ATR-стопа ещё активен 61s; цена отошла только на 0.87 ATR,True,INJ-USDT-SWAP,Ошибка: первичный стоп не подтверждён на бирже,0.0,3.116,True,long,2026-03-21 18:05:40
cooldown после ATR-стопа ещё активен 733s; цена отошла только на 0.43 ATR,True,SUI-USDT-SWAP,ATR стоп 2.0N,0.0,0.96208,True,long,2026-03-21 18:05:43
cooldown после ATR-стопа ещё активен 1193s; цена отошла только на 1.00 ATR,True,1INCH-USDT-SWAP,ATR стоп 2.0N,0.0,0.0948,True,short,2026-03-21 18:05:55
cooldown после ATR-стопа ещё активен 41s; цена отошла только на 0.87 ATR,True,INJ-USDT-SWAP,Ошибка: первичный стоп не подтверждён на бирже,0.0,3.116,True,long,2026-03-21 18:06:00
cooldown после ATR-стопа ещё активен 713s; цена отошла только на 0.43 ATR,True,SUI-USDT-SWAP,ATR стоп 2.0N,0.0,0.96208,True,long,2026-03-21 18:06:02
cooldown после ATR-стопа ещё активен 1177s; цена отошла только на 1.00 ATR,True,1INCH-USDT-SWAP,ATR стоп 2.0N,0.0,0.0948,True,short,2026-03-21 18:06:11
cooldown после ATR-стопа ещё активен 25s; цена отошла только на 0.87 ATR,True,INJ-USDT-SWAP,Ошибка: первичный стоп не подтверждён на бирже,0.0,3.116,True,long,2026-03-21 18:06:16
cooldown после ATR-стопа ещё активен 697s; цена отошла только на 0.43 ATR,True,SUI-USDT-SWAP,ATR стоп 2.0N,0.0,0.96208,True,long,2026-03-21 18:06:18
cooldown после ATR-стопа ещё активен 1159s; цена отошла только на 1.00 ATR,True,1INCH-USDT-SWAP,ATR стоп 2.0N,0.0,0.0948,True,short,2026-03-21 18:06:29
cooldown после ATR-стопа ещё активен 6s; цена отошла только на 0.87 ATR,True,INJ-USDT-SWAP,Ошибка: первичный стоп не подтверждён на бирже,0.0,3.116,True,long,2026-03-21 18:06:35
cooldown после ATR-стопа ещё активен 678s; цена отошла только на 0.43 ATR,True,SUI-USDT-SWAP,ATR стоп 2.0N,0.0,0.96208,True,long,2026-03-21 18:06:37
cooldown после ATR-стопа ещё активен 1143s; цена отошла только на 1.00 ATR,True,1INCH-USDT-SWAP,ATR стоп 2.0N,0.0,0.0948,True,short,2026-03-21 18:06:45
cooldown после ATR-стопа ещё активен 662s; цена отошла только на 0.43 ATR,True,SUI-USDT-SWAP,ATR стоп 2.0N,0.0,0.96208,True,long,2026-03-21 18:06:53
cooldown после ATR-стопа ещё активен 1123s; цена отошла только на 1.00 ATR,True,1INCH-USDT-SWAP,ATR стоп 2.0N,0.0,0.0948,True,short,2026-03-21 18:07:05
cooldown после ATR-стопа ещё активен 643s; цена отошла только на 0.43 ATR,True,SUI-USDT-SWAP,ATR стоп 2.0N,0.0,0.96208,True,long,2026-03-21 18:07:12
cooldown после ATR-стопа ещё активен 1109s; цена отошла только на 1.00 ATR,True,1INCH-USDT-SWAP,ATR стоп 2.0N,0.0,0.0948,True,short,2026-03-21 18:07:20
cooldown после ATR-стопа ещё активен 629s; цена отошла только на 0.43 ATR,True,SUI-USDT-SWAP,ATR стоп 2.0N,0.0,0.96208,True,long,2026-03-21 18:07:27
cooldown после ATR-стопа ещё активен 1091s; цена отошла только на 1.00 ATR,True,1INCH-USDT-SWAP,ATR стоп 2.0N,0.0,0.0948,True,short,2026-03-21 18:07:37
