2026-03-25 19:40:20,364 | INFO | root | okx_gateway:close_position:424 | Closing position FIL-USDT-SWAP. Аварийное закрытие: биржевой стоп не подтверждён
2026-03-25 19:40:24,178 | INFO | root | okx_gateway:amend_exchange_stop:391 | Amending exchange stop IMX-USDT-SWAP algo=3421008019667116032 payload=[{'instId': 'IMX-USDT-SWAP', 'algoId': '3421008019667116032', 'newSlTriggerPx': '0.1534', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-25 19:40:45,562 | INFO | root | okx_gateway:place_exchange_stop:370 | Placing exchange stop AAVE-USDT-SWAP long payload={'instId': 'AAVE-USDT-SWAP', 'tdMode': 'isolated', 'side': 'sell', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP456845562', 'slTriggerPx': '114.64', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-25 19:42:13,062 | WARNING | root | market_data_cache:_run:142 | Market-data worker temporary fetch failure for ARB-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-25 19:43:19,112 | INFO | root | okx_gateway:place_market_order:486 | Placing order CRV-USDT-SWAP buy qty=11700.0
2026-03-25 19:43:22,247 | INFO | root | okx_gateway:place_exchange_stop:370 | Placing exchange stop CRV-USDT-SWAP long payload={'instId': 'CRV-USDT-SWAP', 'tdMode': 'isolated', 'side': 'sell', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP457002247', 'slTriggerPx': '0.2353', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-25 19:43:23,778 | INFO | root | okx_gateway:amend_exchange_stop:391 | Amending exchange stop BNB-USDT-SWAP algo=3421007608558215168 payload=[{'instId': 'BNB-USDT-SWAP', 'algoId': '3421007608558215168', 'newSlTriggerPx': '646.7', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-25 19:43:26,370 | INFO | root | okx_gateway:amend_exchange_stop:391 | Amending exchange stop IMX-USDT-SWAP algo=3421008019667116032 payload=[{'instId': 'IMX-USDT-SWAP', 'algoId': '3421008019667116032', 'newSlTriggerPx': '0.1534', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-25 19:43:49,877 | INFO | root | okx_gateway:place_exchange_stop:370 | Placing exchange stop AAVE-USDT-SWAP long payload={'instId': 'AAVE-USDT-SWAP', 'tdMode': 'isolated', 'side': 'sell', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP457029877', 'slTriggerPx': '114.66', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-25 19:43:50,288 | INFO | root | okx_gateway:close_position:424 | Closing position AAVE-USDT-SWAP. Синхронизация: позиция отсутствует на бирже
2026-03-25 19:45:10,589 | WARNING | root | okx_ws_manager:_on_private_error:424 | Private WS error: Connection to remote host was lost.
2026-03-25 19:46:27,624 | INFO | root | okx_gateway:amend_exchange_stop:391 | Amending exchange stop BNB-USDT-SWAP algo=3421007608558215168 payload=[{'instId': 'BNB-USDT-SWAP', 'algoId': '3421007608558215168', 'newSlTriggerPx': '646.7', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-25 19:46:35,425 | INFO | root | okx_gateway:amend_exchange_stop:391 | Amending exchange stop IMX-USDT-SWAP algo=3421008019667116032 payload=[{'instId': 'IMX-USDT-SWAP', 'algoId': '3421008019667116032', 'newSlTriggerPx': '0.1534', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-25 19:46:46,176 | INFO | root | okx_gateway:place_market_order:486 | Placing order CRV-USDT-SWAP buy qty=11700.0
2026-03-25 19:49:11,448 | INFO | root | okx_gateway:amend_exchange_stop:391 | Amending exchange stop BNB-USDT-SWAP algo=3421007608558215168 payload=[{'instId': 'BNB-USDT-SWAP', 'algoId': '3421007608558215168', 'newSlTriggerPx': '646.7', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-25 19:52:09,942 | INFO | root | okx_gateway:amend_exchange_stop:391 | Amending exchange stop BNB-USDT-SWAP algo=3421007608558215168 payload=[{'instId': 'BNB-USDT-SWAP', 'algoId': '3421007608558215168', 'newSlTriggerPx': '646.7', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-25 19:52:23,239 | INFO | root | okx_gateway:amend_exchange_stop:391 | Amending exchange stop CRV-USDT-SWAP algo=3421028769358766080 payload=[{'instId': 'CRV-USDT-SWAP', 'algoId': '3421028769358766080', 'newSlTriggerPx': '0.2361', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-25 19:55:06,959 | INFO | root | okx_gateway:amend_exchange_stop:391 | Amending exchange stop BNB-USDT-SWAP algo=3421007608558215168 payload=[{'instId': 'BNB-USDT-SWAP', 'algoId': '3421007608558215168', 'newSlTriggerPx': '646.7', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-25 19:55:13,369 | INFO | root | okx_gateway:amend_exchange_stop:391 | Amending exchange stop BNB-USDT-SWAP algo=3421007608558215168 payload=[{'instId': 'BNB-USDT-SWAP', 'algoId': '3421007608558215168', 'newSlTriggerPx': '646.9', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-25 19:55:23,012 | INFO | root | okx_gateway:amend_exchange_stop:391 | Amending exchange stop CRV-USDT-SWAP algo=3421028769358766080 payload=[{'instId': 'CRV-USDT-SWAP', 'algoId': '3421028769358766080', 'newSlTriggerPx': '0.2361', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-25 19:58:13,009 | INFO | root | okx_gateway:place_market_order:486 | Placing order ACT-USDT-SWAP buy qty=10000.0
2026-03-25 19:58:14,624 | INFO | root | okx_gateway:amend_exchange_stop:391 | Amending exchange stop BNB-USDT-SWAP algo=3421007608558215168 payload=[{'instId': 'BNB-USDT-SWAP', 'algoId': '3421007608558215168', 'newSlTriggerPx': '646.9', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-25 19:58:26,560 | INFO | root | okx_gateway:amend_exchange_stop:391 | Amending exchange stop CRV-USDT-SWAP algo=3421028769358766080 payload=[{'instId': 'CRV-USDT-SWAP', 'algoId': '3421028769358766080', 'newSlTriggerPx': '0.2361', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-25 20:01:03,238 | INFO | root | okx_gateway:amend_exchange_stop:391 | Amending exchange stop BNB-USDT-SWAP algo=3421007608558215168 payload=[{'instId': 'BNB-USDT-SWAP', 'algoId': '3421007608558215168', 'newSlTriggerPx': '646.9', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-25 20:01:10,329 | INFO | root | okx_gateway:amend_exchange_stop:391 | Amending exchange stop BNB-USDT-SWAP algo=3421007608558215168 payload=[{'instId': 'BNB-USDT-SWAP', 'algoId': '3421007608558215168', 'newSlTriggerPx': '647', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-25 20:01:44,819 | INFO | root | okx_gateway:close_position:424 | Closing position IMX-USDT-SWAP. Аварийное закрытие: market_already_crossed_stop
2026-03-25 20:01:48,397 | INFO | root | okx_gateway:amend_exchange_stop:391 | Amending exchange stop QTUM-USDT-SWAP algo=3421008151670251520 payload=[{'instId': 'QTUM-USDT-SWAP', 'algoId': '3421008151670251520', 'newSlTriggerPx': '0.909', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-25 20:01:52,016 | INFO | root | okx_gateway:amend_exchange_stop:391 | Amending exchange stop CRV-USDT-SWAP algo=3421028769358766080 payload=[{'instId': 'CRV-USDT-SWAP', 'algoId': '3421028769358766080', 'newSlTriggerPx': '0.2361', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-25 20:01:58,380 | INFO | root | okx_gateway:amend_exchange_stop:391 | Amending exchange stop CRV-USDT-SWAP algo=3421028769358766080 payload=[{'instId': 'CRV-USDT-SWAP', 'algoId': '3421028769358766080', 'newSlTriggerPx': '0.2362', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-25 20:04:26,455 | INFO | root | okx_gateway:amend_exchange_stop:391 | Amending exchange stop BNB-USDT-SWAP algo=3421007608558215168 payload=[{'instId': 'BNB-USDT-SWAP', 'algoId': '3421007608558215168', 'newSlTriggerPx': '647', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-25 20:04:35,053 | INFO | root | okx_gateway:amend_exchange_stop:391 | Amending exchange stop QTUM-USDT-SWAP algo=3421008151670251520 payload=[{'instId': 'QTUM-USDT-SWAP', 'algoId': '3421008151670251520', 'newSlTriggerPx': '0.909', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-25 20:04:44,415 | INFO | root | okx_gateway:amend_exchange_stop:391 | Amending exchange stop CRV-USDT-SWAP algo=3421028769358766080 payload=[{'instId': 'CRV-USDT-SWAP', 'algoId': '3421028769358766080', 'newSlTriggerPx': '0.2362', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-25 20:07:18,913 | INFO | root | okx_gateway:amend_exchange_stop:391 | Amending exchange stop BNB-USDT-SWAP algo=3421007608558215168 payload=[{'instId': 'BNB-USDT-SWAP', 'algoId': '3421007608558215168', 'newSlTriggerPx': '647', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-25 20:07:24,246 | INFO | root | okx_gateway:amend_exchange_stop:391 | Amending exchange stop BNB-USDT-SWAP algo=3421007608558215168 payload=[{'instId': 'BNB-USDT-SWAP', 'algoId': '3421007608558215168', 'newSlTriggerPx': '647.1', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-25 20:07:26,057 | INFO | root | okx_gateway:amend_exchange_stop:391 | Amending exchange stop QTUM-USDT-SWAP algo=3421008151670251520 payload=[{'instId': 'QTUM-USDT-SWAP', 'algoId': '3421008151670251520', 'newSlTriggerPx': '0.909', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-25 20:07:34,808 | INFO | root | okx_gateway:amend_exchange_stop:391 | Amending exchange stop CRV-USDT-SWAP algo=3421028769358766080 payload=[{'instId': 'CRV-USDT-SWAP', 'algoId': '3421028769358766080', 'newSlTriggerPx': '0.2362', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-25 20:07:40,078 | INFO | root | okx_gateway:place_market_order:486 | Placing order CRV-USDT-SWAP buy qty=11700.0
2026-03-25 20:10:07,503 | INFO | root | okx_gateway:place_market_order:486 | Placing order KSM-USDT-SWAP buy qty=6230.0
2026-03-25 20:10:08,824 | INFO | root | okx_gateway:place_exchange_stop:370 | Placing exchange stop KSM-USDT-SWAP long payload={'instId': 'KSM-USDT-SWAP', 'tdMode': 'isolated', 'side': 'sell', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP458608824', 'slTriggerPx': '4.43', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-25 20:10:11,961 | INFO | root | okx_gateway:amend_exchange_stop:391 | Amending exchange stop QTUM-USDT-SWAP algo=3421008151670251520 payload=[{'instId': 'QTUM-USDT-SWAP', 'algoId': '3421008151670251520', 'newSlTriggerPx': '0.909', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-25 20:10:45,516 | INFO | root | okx_gateway:close_position:424 | Closing position CFX-USDT-SWAP. Аварийное закрытие: market_already_crossed_stop
2026-03-25 20:10:48,491 | INFO | root | okx_gateway:amend_exchange_stop:391 | Amending exchange stop CRV-USDT-SWAP algo=3421028769358766080 payload=[{'instId': 'CRV-USDT-SWAP', 'algoId': '3421028769358766080', 'newSlTriggerPx': '0.2362', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-25 20:10:53,804 | INFO | root | okx_gateway:amend_exchange_stop:391 | Amending exchange stop CRV-USDT-SWAP algo=3421028769358766080 payload=[{'instId': 'CRV-USDT-SWAP', 'algoId': '3421028769358766080', 'newSlTriggerPx': '0.2369', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-25 20:10:54,394 | INFO | root | okx_gateway:place_market_order:486 | Placing order CRV-USDT-SWAP buy qty=11700.0
2026-03-25 20:12:11,736 | WARNING | root | market_data_cache:_run:142 | Market-data worker temporary fetch failure for AI16Z-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-25 20:14:10,277 | INFO | root | okx_gateway:place_market_order:486 | Placing order MET-USDT-SWAP buy qty=1988.0
