2026-03-25 19:12:29,273 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=ADA-USDT-SWAP&bar=15m&limit=121 "HTTP/2 200 OK"
2026-03-25 19:12:29,500 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=BLUAI-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-25 19:12:29,513 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=ADA-USDT-SWAP&bar=5m&limit=97 "HTTP/2 200 OK"
2026-03-25 19:12:29,757 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/history-trades?instId=ADA-USDT-SWAP&limit=100 "HTTP/2 200 OK"
2026-03-25 19:12:29,981 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=BNB-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 19:12:30,053 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/books?instId=ADA-USDT-SWAP&sz=5 "HTTP/2 200 OK"
2026-03-25 19:12:30,232 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=BNB-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-25 19:12:30,404 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=AI16Z-USDT-SWAP&bar=15m&limit=121 "HTTP/2 200 OK"
2026-03-25 19:12:30,662 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=BOME-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 19:12:30,687 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=AI16Z-USDT-SWAP&bar=5m&limit=97 "HTTP/2 200 OK"
