available_after_bans,cache_errors,cache_fetch_count,closed_trades,connectivity_components_down,connectivity_state,event,loop_duration_sec,open_positions,signals_blocked,signals_found,symbols_scanned,ts
108,9,11336,3,[],CONNECTED,SYSTEM_HEALTH,114.92371940612793,7,0,0,112,2026-03-22 21:19:07
108,9,11501,3,[],CONNECTED,SYSTEM_HEALTH,114.92371940612793,7,0,0,112,2026-03-22 21:20:07
108,9,11664,3,[],CONNECTED,SYSTEM_HEALTH,88.55514287948608,7,0,0,112,2026-03-22 21:21:36
108,9,11664,3,[],CONNECTED,SYSTEM_HEALTH,83.69321489334106,7,0,0,112,2026-03-22 21:22:02
108,9,11830,3,[],CONNECTED,SYSTEM_HEALTH,83.69321489334106,7,0,0,112,2026-03-22 21:23:02
108,10,12016,3,['market_data'],DEGRADED,SYSTEM_HEALTH,80.94362354278564,7,0,0,112,2026-03-22 21:24:16
108,11,12178,3,[],CONNECTED,SYSTEM_HEALTH,68.099036693573,7,0,0,112,2026-03-22 21:25:37
108,11,12178,3,[],CONNECTED,SYSTEM_HEALTH,76.75678205490112,7,0,0,112,2026-03-22 21:26:01
108,11,12529,3,[],CONNECTED,SYSTEM_HEALTH,76.75678205490112,7,0,0,112,2026-03-22 21:27:41
108,11,12529,3,[],CONNECTED,SYSTEM_HEALTH,119.1815550327301,6,0,0,112,2026-03-22 21:28:01
108,11,12696,3,[],CONNECTED,SYSTEM_HEALTH,119.1815550327301,6,0,0,112,2026-03-22 21:29:00
108,11,12865,3,[],CONNECTED,SYSTEM_HEALTH,73.587238073349,6,0,0,112,2026-03-22 21:30:18
108,11,13038,4,[],CONNECTED,SYSTEM_HEALTH,73.3507490158081,5,0,0,112,2026-03-22 21:31:05
108,11,13038,4,[],CONNECTED,SYSTEM_HEALTH,73.3507490158081,5,0,0,112,2026-03-22 21:32:00
108,11,13221,5,[],CONNECTED,SYSTEM_HEALTH,13.045032024383545,3,0,0,112,2026-03-22 21:33:03
108,11,13383,5,[],CONNECTED,SYSTEM_HEALTH,17.660683631896973,3,0,0,112,2026-03-22 21:34:00
108,11,13536,5,[],CONNECTED,SYSTEM_HEALTH,3.326616048812866,3,0,0,112,2026-03-22 21:35:05
107,11,13685,5,[],CONNECTED,SYSTEM_HEALTH,48.136451721191406,4,0,18,112,2026-03-22 21:36:01
107,11,13835,5,[],CONNECTED,SYSTEM_HEALTH,48.136451721191406,13,0,18,112,2026-03-22 21:37:20
107,11,14188,5,[],CONNECTED,SYSTEM_HEALTH,48.136451721191406,13,0,18,112,2026-03-22 21:39:23
107,11,14546,5,[],CONNECTED,SYSTEM_HEALTH,48.136451721191406,13,0,18,112,2026-03-22 21:41:40
107,11,14726,5,[],CONNECTED,SYSTEM_HEALTH,48.136451721191406,13,0,18,112,2026-03-22 21:42:44
107,11,14726,5,[],CONNECTED,SYSTEM_HEALTH,424.93100023269653,13,0,6,112,2026-03-22 21:43:07
106,11,14901,5,[],CONNECTED,SYSTEM_HEALTH,424.93100023269653,14,0,6,112,2026-03-22 21:44:19
