breakout_id,cooldown_blocked,cooldown_required_seconds,event,final_decision_allow_true_false,final_reason,inst_id,last_exit_reason,last_trade_pnl,price,recent_stopout_present,recent_trade_penalty,recovery_atr_actual,recovery_atr_required,recovery_blocked,seconds_since_last_close,side,timeframe,ts
,,,reentry_check,True,scan,CHZ-USDT-SWAP,,,0.04027,False,0.0,,,,,scan,5m,2026-03-29 13:10:43
,False,,reentry_check,True,ok,COMP-USDT-SWAP,,,18.15,False,,,,False,,long,5m,2026-03-29 13:10:45
,False,,reentry_check,True,ok,COMP-USDT-SWAP,,,18.15,False,,,,False,,short,5m,2026-03-29 13:10:45
,False,,reentry_check,True,ok,DOGE-USDT-SWAP,,,0.0908,False,,,,False,,long,5m,2026-03-29 13:10:49
,False,,reentry_check,True,ok,DOGE-USDT-SWAP,,,0.0908,False,,,,False,,short,5m,2026-03-29 13:10:49
,False,,reentry_check,True,ok,ETC-USDT-SWAP,,,7.99,False,,,,False,,long,5m,2026-03-29 13:10:55
,False,,reentry_check,True,ok,ETC-USDT-SWAP,,,7.99,False,,,,False,,short,5m,2026-03-29 13:10:55
,False,,reentry_check,True,ok,JUP-USDT-SWAP,,,0.1431,False,,,,False,,long,5m,2026-03-29 13:11:12
,False,,reentry_check,True,ok,JUP-USDT-SWAP,,,0.1431,False,,,,False,,short,5m,2026-03-29 13:11:12
,,,reentry_check,True,scan,JUP-USDT-SWAP,,,0.1431,False,0.0,,,,,scan,5m,2026-03-29 13:11:12
,False,,reentry_check,True,ok,LDO-USDT-SWAP,,,0.3038,False,,,,False,,long,5m,2026-03-29 13:11:14
,False,,reentry_check,True,ok,LDO-USDT-SWAP,,,0.3038,False,,,,False,,short,5m,2026-03-29 13:11:14
,False,,reentry_check,True,ok,LIT-USDT-SWAP,,,0.855,False,,,,False,,long,5m,2026-03-29 13:11:16
,False,,reentry_check,True,ok,LIT-USDT-SWAP,,,0.855,False,,,,False,,short,5m,2026-03-29 13:11:16
,,,reentry_check,True,scan,LIT-USDT-SWAP,,,0.855,False,0.0,,,,,scan,5m,2026-03-29 13:11:16
,False,,reentry_check,True,ok,OP-USDT-SWAP,,,0.1021,False,,,,False,,long,5m,2026-03-29 13:11:34
,False,,reentry_check,True,ok,OP-USDT-SWAP,,,0.1021,False,,,,False,,short,5m,2026-03-29 13:11:34
,False,,reentry_check,True,ok,SOL-USDT-SWAP,,,82.19,False,,,,False,,long,5m,2026-03-29 13:11:48
,False,,reentry_check,True,ok,SOL-USDT-SWAP,,,82.19,False,,,,False,,short,5m,2026-03-29 13:11:48
,,,reentry_check,True,scan,SOL-USDT-SWAP,,,82.19,False,0.0,,,,,scan,5m,2026-03-29 13:11:48
