block_reason,cooldown_blocked,inst_id,last_exit_reason,last_trade_pnl,price,recovery_blocked,side,ts
cooldown после ATR-стопа ещё активен 1073s; цена отошла только на 0.06 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70652.9,True,short,2026-03-20 06:31:55
cooldown после ATR-стопа ещё активен 1613s; цена отошла только на 0.09 ATR,True,YFI-USDT-SWAP,ATR стоп 2.0N,0.0,2748.2,True,long,2026-03-20 06:32:04
cooldown после ATR-стопа ещё активен 1027s; цена отошла только на 0.06 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70652.9,True,short,2026-03-20 06:32:42
cooldown после ATR-стопа ещё активен 1565s; цена отошла только на 0.09 ATR,True,YFI-USDT-SWAP,ATR стоп 2.0N,0.0,2748.2,True,long,2026-03-20 06:32:51
cooldown после ATR-стопа ещё активен 987s; цена отошла только на 0.06 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70652.9,True,short,2026-03-20 06:33:22
cooldown после ATR-стопа ещё активен 1526s; цена отошла только на 0.09 ATR,True,YFI-USDT-SWAP,ATR стоп 2.0N,0.0,2748.2,True,long,2026-03-20 06:33:31
cooldown после ATR-стопа ещё активен 940s; цена отошла только на 0.06 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70652.9,True,short,2026-03-20 06:34:09
cooldown после ATR-стопа ещё активен 1479s; цена отошла только на 0.09 ATR,True,YFI-USDT-SWAP,ATR стоп 2.0N,0.0,2748.2,True,long,2026-03-20 06:34:18
cooldown после ATR-стопа ещё активен 896s; цена отошла только на 0.06 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70652.9,True,short,2026-03-20 06:34:53
cooldown после ATR-стопа ещё активен 1435s; цена отошла только на 0.09 ATR,True,YFI-USDT-SWAP,ATR стоп 2.0N,0.0,2748.2,True,long,2026-03-20 06:35:02
cooldown после ATR-стопа ещё активен 844s; цена отошла только на 0.06 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70651.7,True,short,2026-03-20 06:35:44
cooldown после ATR-стопа ещё активен 1383s; цена отошла только на 0.09 ATR,True,YFI-USDT-SWAP,ATR стоп 2.0N,0.0,2748.2,True,long,2026-03-20 06:35:54
cooldown после ATR-стопа ещё активен 776s; цена отошла только на 0.06 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70651.7,True,short,2026-03-20 06:36:53
cooldown после ATR-стопа ещё активен 1315s; цена отошла только на 0.09 ATR,True,YFI-USDT-SWAP,ATR стоп 2.0N,0.0,2748.2,True,long,2026-03-20 06:37:02
cooldown после ATR-стопа ещё активен 710s; цена отошла только на 0.06 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70651.7,True,short,2026-03-20 06:37:58
cooldown после ATR-стопа ещё активен 1249s; цена отошла только на 0.09 ATR,True,YFI-USDT-SWAP,ATR стоп 2.0N,0.0,2748.2,True,long,2026-03-20 06:38:08
cooldown после ATR-стопа ещё активен 662s; цена отошла только на 0.06 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70651.7,True,short,2026-03-20 06:38:47
cooldown после ATR-стопа ещё активен 1200s; цена отошла только на 0.09 ATR,True,YFI-USDT-SWAP,ATR стоп 2.0N,0.0,2748.2,True,long,2026-03-20 06:38:57
cooldown после ATR-стопа ещё активен 606s; цена отошла только на 0.06 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70651.7,True,short,2026-03-20 06:39:43
cooldown после ATR-стопа ещё активен 1761s; цена отошла только на 0.90 ATR,True,XAG-USDT-SWAP,ATR стоп 2.0N,0.0,74.26,True,long,2026-03-20 06:39:53
cooldown после ATR-стопа ещё активен 1143s; цена отошла только на 0.09 ATR,True,YFI-USDT-SWAP,ATR стоп 2.0N,0.0,2748.2,True,long,2026-03-20 06:39:54
cooldown после ATR-стопа ещё активен 541s; цена отошла только на 0.00 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70634.3,True,short,2026-03-20 06:40:48
cooldown после ATR-стопа ещё активен 1697s; цена отошла только на 0.25 ATR,True,XAG-USDT-SWAP,ATR стоп 2.0N,0.0,74.12,True,long,2026-03-20 06:40:56
cooldown после ATR-стопа ещё активен 483s; цена отошла только на 0.00 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70634.3,True,short,2026-03-20 06:41:46
cooldown после ATR-стопа ещё активен 1639s; цена отошла только на 0.25 ATR,True,XAG-USDT-SWAP,ATR стоп 2.0N,0.0,74.12,True,long,2026-03-20 06:41:54
cooldown после ATR-стопа ещё активен 438s; цена отошла только на 0.00 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70634.3,True,short,2026-03-20 06:42:31
cooldown после ATR-стопа ещё активен 1595s; цена отошла только на 0.25 ATR,True,XAG-USDT-SWAP,ATR стоп 2.0N,0.0,74.12,True,long,2026-03-20 06:42:38
cooldown после ATR-стопа ещё активен 383s; цена отошла только на 0.00 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70634.3,True,short,2026-03-20 06:43:26
cooldown после ATR-стопа ещё активен 1540s; цена отошла только на 0.25 ATR,True,XAG-USDT-SWAP,ATR стоп 2.0N,0.0,74.12,True,long,2026-03-20 06:43:34
cooldown после ATR-стопа ещё активен 339s; цена отошла только на 0.00 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70634.3,True,short,2026-03-20 06:44:10
cooldown после ATR-стопа ещё активен 1497s; цена отошла только на 0.25 ATR,True,XAG-USDT-SWAP,ATR стоп 2.0N,0.0,74.12,True,long,2026-03-20 06:44:17
cooldown после ATR-стопа ещё активен 285s; цена отошла только на 0.09 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70605.3,True,short,2026-03-20 06:45:04
cooldown после ATR-стопа ещё активен 242s; цена отошла только на 0.09 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70605.3,True,short,2026-03-20 06:45:47
cooldown после ATR-стопа ещё активен 181s; цена отошла только на 0.09 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70605.3,True,short,2026-03-20 06:46:47
cooldown после ATR-стопа ещё активен 151s; цена отошла только на 0.09 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70605.3,True,short,2026-03-20 06:47:18
cooldown после ATR-стопа ещё активен 121s; цена отошла только на 0.09 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70605.3,True,short,2026-03-20 06:47:47
cooldown после ATR-стопа ещё активен 91s; цена отошла только на 0.09 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70605.3,True,short,2026-03-20 06:48:18
