2026-03-29 15:46:47,822 | INFO | root | okx_gateway:amend_exchange_stop:433 | Amending exchange stop SAND-USDT-SWAP algo=3432136002838552576 payload=[{'instId': 'SAND-USDT-SWAP', 'algoId': '3432136002838552576', 'newSlTriggerPx': '0.0728', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-29 15:46:53,198 | INFO | root | okx_gateway:place_exchange_stop:410 | Placing exchange stop SAND-USDT-SWAP short payload={'instId': 'SAND-USDT-SWAP', 'tdMode': 'isolated', 'side': 'buy', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP788413198', 'slTriggerPx': '0.0728', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-29 15:46:55,643 | INFO | root | okx_gateway:place_market_order:639 | Placing order SAND-USDT-SWAP sell qty=3901.0 attached_stop=False attached_stop_px=
2026-03-29 15:46:58,951 | INFO | root | okx_gateway:amend_exchange_stop:433 | Amending exchange stop ZIL-USDT-SWAP algo=3432129586962718720 payload=[{'instId': 'ZIL-USDT-SWAP', 'algoId': '3432129586962718720', 'newSlTriggerPx': '0.003677', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-29 15:47:04,273 | INFO | root | okx_gateway:place_exchange_stop:410 | Placing exchange stop ZIL-USDT-SWAP short payload={'instId': 'ZIL-USDT-SWAP', 'tdMode': 'isolated', 'side': 'buy', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP788424273', 'slTriggerPx': '0.003677', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-29 15:47:06,714 | INFO | root | okx_gateway:place_market_order:639 | Placing order ZIL-USDT-SWAP sell qty=7699.0 attached_stop=False attached_stop_px=
2026-03-29 15:47:09,769 | INFO | root | okx_gateway:amend_exchange_stop:433 | Amending exchange stop INJ-USDT-SWAP algo=3432140625364213760 payload=[{'instId': 'INJ-USDT-SWAP', 'algoId': '3432140625364213760', 'newSlTriggerPx': '2.799', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-29 15:47:15,130 | INFO | root | okx_gateway:place_exchange_stop:410 | Placing exchange stop INJ-USDT-SWAP short payload={'instId': 'INJ-USDT-SWAP', 'tdMode': 'isolated', 'side': 'buy', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP788435130', 'slTriggerPx': '2.799', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-29 15:47:17,581 | INFO | root | okx_gateway:place_market_order:639 | Placing order INJ-USDT-SWAP sell qty=10036.0 attached_stop=False attached_stop_px=
2026-03-29 15:47:20,651 | INFO | root | okx_gateway:amend_exchange_stop:433 | Amending exchange stop OP-USDT-SWAP algo=3432140987584307200 payload=[{'instId': 'OP-USDT-SWAP', 'algoId': '3432140987584307200', 'newSlTriggerPx': '0.10126', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-29 15:47:25,967 | INFO | root | okx_gateway:place_exchange_stop:410 | Placing exchange stop OP-USDT-SWAP short payload={'instId': 'OP-USDT-SWAP', 'tdMode': 'isolated', 'side': 'buy', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP788445967', 'slTriggerPx': '0.10126', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-29 15:47:30,060 | INFO | root | okx_gateway:amend_exchange_stop:433 | Amending exchange stop SUI-USDT-SWAP algo=3432129775270191104 payload=[{'instId': 'SUI-USDT-SWAP', 'algoId': '3432129775270191104', 'newSlTriggerPx': '0.85642', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
